,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,2,MAGIC 8 BALL™,719,8888,4.10,6,3,,,,11/27/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_719
0,1,Snowflake Cash,752,500,4.35,20,4,,,,11/18/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_752
0,20,"Win $100, $200 or $500",718,500,8.84,14733,9145,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_718
0,10,Snowflake Tripler,717,100000,3.35,5,2,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_717
0,5,Holiday Luck Doubler,716,50000,3.92,6,2,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_716
0,2,It's Gold Outside,714,10000,3.96,6,4,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_714
0,3,Peppermint Payout,715,30000,3.99,6,4,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_715
0,1,Gift Tag Cash,713,500,4.35,41,8,,,,10/21/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_713
0,30,"$5,000 Large",712,5000,2.64,1057,874,,,,09/23/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_712
0,10,"$2,000 Large",711,2000,3.32,1892,1025,,,,09/23/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_711
0,5,Deluxe Crossword,710,50000,3.47,8,3,,,,09/23/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_710
0,5,GAME OF THRONES™,709,50000,3.64,6,2,,,,09/23/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_709
0,10,Ravens X10,706,200000,3.28,9,5,,,,08/16/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_706
0,5,Ca$h Plu$,707,50000,3.92,7,2,,,,08/19/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_707
0,2,Ravens X2,705,20000,4.04,7,2,,,,08/16/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_705
