price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,secondChance,dateexported,gameURL,gamePhoto
10.0,Aces,1613,100000.0,1,Available,2025-02-11,,,3.52,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Crossword Gnomes,1614,15000.0,0,Top Prize Claimed,2025-03-20,,,3.65,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
30.0,40th Anniversary,1615,40000.0,1,Available,2025-01-14,,,2.87,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,$50 or $100 Bonanza,1616,100.0,6137,Available,2025-11-07,,,9.0,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Wild Side,1617,100000.0,1,Available,2025-04-08,,,3.41,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Jackpot Cash,1618,50000.0,0,Top Prize Claimed,2025-04-08,,,5.16,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Crossword Twist,1619,15000.0,1,Available,2025-08-28,,,3.65,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Sapphire Blue 7s,1620,8000.0,0,Top Prize Claimed,2025-05-13,,,4.31,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Emerald Green 7s,1621,40000.0,0,Top Prize Claimed,2025-05-13,,,3.77,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Ruby Red 7s,1622,80000.0,0,Top Prize Claimed,2025-05-13,,,3.35,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
20.0,Diamond White 7s,1623,150000.0,0,Top Prize Claimed,2025-05-13,,,2.82,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
3.0,Red Carpet Crossword,1624,25000.0,1,Available,2025-09-16,,,3.62,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
