prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,gameNumber,gameName,price,dateexported
20,517099,515922,539,40TH ANNIVERSARY,20.0,2025-12-31
40,299592,298937,539,40TH ANNIVERSARY,20.0,2025-12-31
100,206282,205785,539,40TH ANNIVERSARY,20.0,2025-12-31
200,5444,5432,539,40TH ANNIVERSARY,20.0,2025-12-31
400,2154,2150,539,40TH ANNIVERSARY,20.0,2025-12-31
1000,1116,1116,539,40TH ANNIVERSARY,20.0,2025-12-31
5000,25,25,539,40TH ANNIVERSARY,20.0,2025-12-31
10000,11,11,539,40TH ANNIVERSARY,20.0,2025-12-31
20000,5,5,539,40TH ANNIVERSARY,20.0,2025-12-31
86000,4,4,539,40TH ANNIVERSARY,20.0,2025-12-31
100000,2,2,539,40TH ANNIVERSARY,20.0,2025-12-31
2000000,2,2,539,40TH ANNIVERSARY,20.0,2025-12-31
10,615552,614618,540,"$1,000 FRENZY",10.0,2025-12-31
15,230832,230437,540,"$1,000 FRENZY",10.0,2025-12-31
20,307776,307298,540,"$1,000 FRENZY",10.0,2025-12-31
25,76944,76813,540,"$1,000 FRENZY",10.0,2025-12-31
50,153888,153620,540,"$1,000 FRENZY",10.0,2025-12-31
100,46155,46072,540,"$1,000 FRENZY",10.0,2025-12-31
200,4607,4603,540,"$1,000 FRENZY",10.0,2025-12-31
1000,1595,1595,540,"$1,000 FRENZY",10.0,2025-12-31
5000,50,50,540,"$1,000 FRENZY",10.0,2025-12-31
50000,5,5,540,"$1,000 FRENZY",10.0,2025-12-31
1000000,2,2,540,"$1,000 FRENZY",10.0,2025-12-31
5,409222,408140,541,$500 FRENZY,5.0,2025-12-31
10,267484,266704,541,$500 FRENZY,5.0,2025-12-31
15,125892,125514,541,$500 FRENZY,5.0,2025-12-31
25,62946,62730,541,$500 FRENZY,5.0,2025-12-31
50,37781,37650,541,$500 FRENZY,5.0,2025-12-31
100,10545,10508,541,$500 FRENZY,5.0,2025-12-31
500,2527,2516,541,$500 FRENZY,5.0,2025-12-31
1000,30,30,541,$500 FRENZY,5.0,2025-12-31
10000,6,6,541,$500 FRENZY,5.0,2025-12-31
100000,4,4,541,$500 FRENZY,5.0,2025-12-31
2,587032,586115,542,$100 FRENZY,2.0,2025-12-31
4,285164,284643,542,$100 FRENZY,2.0,2025-12-31
5,100638,100448,542,$100 FRENZY,2.0,2025-12-31
10,67092,66959,542,$100 FRENZY,2.0,2025-12-31
25,33546,33475,542,$100 FRENZY,2.0,2025-12-31
40,19592,19558,542,$100 FRENZY,2.0,2025-12-31
100,13954,13925,542,$100 FRENZY,2.0,2025-12-31
1000,24,24,542,$100 FRENZY,2.0,2025-12-31
2500,5,5,542,$100 FRENZY,2.0,2025-12-31
25000,5,5,542,$100 FRENZY,2.0,2025-12-31
1,621902,620317,543,$50 FRENZY,1.0,2025-12-31
2,270296,269557,543,$50 FRENZY,1.0,2025-12-31
4,126254,125900,543,$50 FRENZY,1.0,2025-12-31
5,36074,35977,543,$50 FRENZY,1.0,2025-12-31
10,31512,31416,543,$50 FRENZY,1.0,2025-12-31
15,18025,17965,543,$50 FRENZY,1.0,2025-12-31
50,19834,19758,543,$50 FRENZY,1.0,2025-12-31
100,1466,1460,543,$50 FRENZY,1.0,2025-12-31
500,12,12,543,$50 FRENZY,1.0,2025-12-31
1000,8,8,543,$50 FRENZY,1.0,2025-12-31
2500,6,6,543,$50 FRENZY,1.0,2025-12-31
5,587321,559680,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
10,377687,359230,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
15,146890,139590,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
20,83919,79644,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
25,62922,59694,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
30,11754,11136,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
40,10486,9951,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
50,12220,11572,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
60,8415,7985,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
75,8429,7977,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
100,4234,4023,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
250,4440,4193,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
500,422,400,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
1000,30,30,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
2500,24,24,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
10000,6,6,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
100000,6,6,533,MYSTERY PRIZE CROSSWORD,5.0,2025-12-31
5,645198,526227,527,MONEY MONEY MONEY,5.0,2025-12-31
10,276476,223079,527,MONEY MONEY MONEY,5.0,2025-12-31
15,276610,222067,527,MONEY MONEY MONEY,5.0,2025-12-31
20,69105,55400,527,MONEY MONEY MONEY,5.0,2025-12-31
25,33463,26810,527,MONEY MONEY MONEY,5.0,2025-12-31
40,46173,36927,527,MONEY MONEY MONEY,5.0,2025-12-31
50,13954,11127,527,MONEY MONEY MONEY,5.0,2025-12-31
75,3707,2941,527,MONEY MONEY MONEY,5.0,2025-12-31
100,20454,16229,527,MONEY MONEY MONEY,5.0,2025-12-31
200,934,755,527,MONEY MONEY MONEY,5.0,2025-12-31
500,191,150,527,MONEY MONEY MONEY,5.0,2025-12-31
1000,720,613,527,MONEY MONEY MONEY,5.0,2025-12-31
5000,29,22,527,MONEY MONEY MONEY,5.0,2025-12-31
20000,6,5,527,MONEY MONEY MONEY,5.0,2025-12-31
100000,6,5,527,MONEY MONEY MONEY,5.0,2025-12-31
3,673957,659816,528,COSMIC CROSSWORD,3.0,2025-12-31
6,691058,675743,528,COSMIC CROSSWORD,3.0,2025-12-31
10,151611,147929,528,COSMIC CROSSWORD,3.0,2025-12-31
12,117952,115206,528,COSMIC CROSSWORD,3.0,2025-12-31
20,67405,65733,528,COSMIC CROSSWORD,3.0,2025-12-31
50,11233,10934,528,COSMIC CROSSWORD,3.0,2025-12-31
60,8413,8182,528,COSMIC CROSSWORD,3.0,2025-12-31
100,8650,8406,528,COSMIC CROSSWORD,3.0,2025-12-31
500,568,554,528,COSMIC CROSSWORD,3.0,2025-12-31
1000,115,113,528,COSMIC CROSSWORD,3.0,2025-12-31
5000,28,27,528,COSMIC CROSSWORD,3.0,2025-12-31
50000,10,10,528,COSMIC CROSSWORD,3.0,2025-12-31
50,443861,395148,551,SUPER 7S,30.0,2025-12-31
60,577430,513854,551,SUPER 7S,30.0,2025-12-31
100,259113,230594,551,SUPER 7S,30.0,2025-12-31
200,36955,32837,551,SUPER 7S,30.0,2025-12-31
500,11820,10548,551,SUPER 7S,30.0,2025-12-31
1000,1546,1403,551,SUPER 7S,30.0,2025-12-31
2500,62,56,551,SUPER 7S,30.0,2025-12-31
5000,62,57,551,SUPER 7S,30.0,2025-12-31
25000,9,7,551,SUPER 7S,30.0,2025-12-31
100000,3,3,551,SUPER 7S,30.0,2025-12-31
3000000,3,3,551,SUPER 7S,30.0,2025-12-31
2,625069,366371,534,HOLIDAY CASH DROP,2.0,2025-12-31
4,220645,126047,534,HOLIDAY CASH DROP,2.0,2025-12-31
5,257397,146047,534,HOLIDAY CASH DROP,2.0,2025-12-31
10,110313,60302,534,HOLIDAY CASH DROP,2.0,2025-12-31
25,41369,21786,534,HOLIDAY CASH DROP,2.0,2025-12-31
40,11262,5649,534,HOLIDAY CASH DROP,2.0,2025-12-31
50,4034,2059,534,HOLIDAY CASH DROP,2.0,2025-12-31
100,7499,3673,534,HOLIDAY CASH DROP,2.0,2025-12-31
500,281,128,534,HOLIDAY CASH DROP,2.0,2025-12-31
1000,66,37,534,HOLIDAY CASH DROP,2.0,2025-12-31
10000,5,2,534,HOLIDAY CASH DROP,2.0,2025-12-31
25000,5,4,534,HOLIDAY CASH DROP,2.0,2025-12-31
1,996917,559398,535,FROSTY FUN,1.0,2025-12-31
2,327626,177889,535,FROSTY FUN,1.0,2025-12-31
3,227873,120928,535,FROSTY FUN,1.0,2025-12-31
5,142404,73069,535,FROSTY FUN,1.0,2025-12-31
10,142400,69860,535,FROSTY FUN,1.0,2025-12-31
20,35614,16543,535,FROSTY FUN,1.0,2025-12-31
40,7155,3165,535,FROSTY FUN,1.0,2025-12-31
100,1764,723,535,FROSTY FUN,1.0,2025-12-31
200,146,62,535,FROSTY FUN,1.0,2025-12-31
500,38,12,535,FROSTY FUN,1.0,2025-12-31
1000,15,9,535,FROSTY FUN,1.0,2025-12-31
5,381484,130451,531,MERRY MONEY,5.0,2025-12-31
10,217854,70126,531,MERRY MONEY,5.0,2025-12-31
15,108982,33075,531,MERRY MONEY,5.0,2025-12-31
20,81746,25288,531,MERRY MONEY,5.0,2025-12-31
30,16375,4655,531,MERRY MONEY,5.0,2025-12-31
50,32675,9346,531,MERRY MONEY,5.0,2025-12-31
100,12268,3365,531,MERRY MONEY,5.0,2025-12-31
500,112,31,531,MERRY MONEY,5.0,2025-12-31
1000,56,19,531,MERRY MONEY,5.0,2025-12-31
5000,11,5,531,MERRY MONEY,5.0,2025-12-31
20000,3,1,531,MERRY MONEY,5.0,2025-12-31
100000,3,1,531,MERRY MONEY,5.0,2025-12-31
10,374922,160711,529,NUTCRACKER CASH,10.0,2025-12-31
20,225006,93769,529,NUTCRACKER CASH,10.0,2025-12-31
25,30041,12409,529,NUTCRACKER CASH,10.0,2025-12-31
50,30919,12493,529,NUTCRACKER CASH,10.0,2025-12-31
100,25286,10094,529,NUTCRACKER CASH,10.0,2025-12-31
200,5280,2124,529,NUTCRACKER CASH,10.0,2025-12-31
500,1884,761,529,NUTCRACKER CASH,10.0,2025-12-31
1000,810,390,529,NUTCRACKER CASH,10.0,2025-12-31
5000,20,8,529,NUTCRACKER CASH,10.0,2025-12-31
10000,20,7,529,NUTCRACKER CASH,10.0,2025-12-31
20000,5,3,529,NUTCRACKER CASH,10.0,2025-12-31
200000,2,1,529,NUTCRACKER CASH,10.0,2025-12-31
5,424440,254932,530,HOLIDAY LIGHTS,5.0,2025-12-31
10,303169,175565,530,HOLIDAY LIGHTS,5.0,2025-12-31
15,121268,69065,530,HOLIDAY LIGHTS,5.0,2025-12-31
25,31869,17828,530,HOLIDAY LIGHTS,5.0,2025-12-31
50,56061,30821,530,HOLIDAY LIGHTS,5.0,2025-12-31
100,11719,6377,530,HOLIDAY LIGHTS,5.0,2025-12-31
500,249,131,530,HOLIDAY LIGHTS,5.0,2025-12-31
1000,72,44,530,HOLIDAY LIGHTS,5.0,2025-12-31
5000,18,11,530,HOLIDAY LIGHTS,5.0,2025-12-31
20000,4,2,530,HOLIDAY LIGHTS,5.0,2025-12-31
100000,4,2,530,HOLIDAY LIGHTS,5.0,2025-12-31
20,234233,104063,525,STARRY NIGHTS,20.0,2025-12-31
40,156126,68214,525,STARRY NIGHTS,20.0,2025-12-31
50,67652,29532,525,STARRY NIGHTS,20.0,2025-12-31
100,67728,29341,525,STARRY NIGHTS,20.0,2025-12-31
200,2620,1133,525,STARRY NIGHTS,20.0,2025-12-31
500,1120,493,525,STARRY NIGHTS,20.0,2025-12-31
1000,520,260,525,STARRY NIGHTS,20.0,2025-12-31
5000,13,5,525,STARRY NIGHTS,20.0,2025-12-31
10000,12,9,525,STARRY NIGHTS,20.0,2025-12-31
20000,7,3,525,STARRY NIGHTS,20.0,2025-12-31
30000,4,1,525,STARRY NIGHTS,20.0,2025-12-31
300000,2,1,525,STARRY NIGHTS,20.0,2025-12-31
5,434637,219800,520,TETRIS,5.0,2025-12-31
10,329723,162872,520,TETRIS,5.0,2025-12-31
15,119943,58598,520,TETRIS,5.0,2025-12-31
25,44960,21813,520,TETRIS,5.0,2025-12-31
50,26519,12743,520,TETRIS,5.0,2025-12-31
75,12797,6090,520,TETRIS,5.0,2025-12-31
100,9897,4779,520,TETRIS,5.0,2025-12-31
200,301,148,520,TETRIS,5.0,2025-12-31
500,148,70,520,TETRIS,5.0,2025-12-31
1000,10,5,520,TETRIS,5.0,2025-12-31
5000,2,2,520,TETRIS,5.0,2025-12-31
20000,3,2,520,TETRIS,5.0,2025-12-31
100000,4,3,520,TETRIS,5.0,2025-12-31
1,802454,314796,522,LUCKY 7S,1.0,2025-12-31
2,325629,122743,522,LUCKY 7S,1.0,2025-12-31
3,46493,17104,522,LUCKY 7S,1.0,2025-12-31
4,46485,16762,522,LUCKY 7S,1.0,2025-12-31
5,93036,32753,522,LUCKY 7S,1.0,2025-12-31
7,46518,16068,522,LUCKY 7S,1.0,2025-12-31
10,75610,25762,522,LUCKY 7S,1.0,2025-12-31
25,23259,7486,522,LUCKY 7S,1.0,2025-12-31
30,9625,3077,522,LUCKY 7S,1.0,2025-12-31
50,4077,1288,522,LUCKY 7S,1.0,2025-12-31
100,1738,546,522,LUCKY 7S,1.0,2025-12-31
500,38,11,522,LUCKY 7S,1.0,2025-12-31
777,28,12,522,LUCKY 7S,1.0,2025-12-31
1000,5,2,522,LUCKY 7S,1.0,2025-12-31
7777,5,3,522,LUCKY 7S,1.0,2025-12-31
20,463574,308522,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
40,327276,217064,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
50,140423,92869,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
100,136397,90167,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
200,5454,3626,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
500,1791,1192,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
1000,1091,761,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
5000,25,19,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
10000,11,8,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
20000,5,4,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
100000,4,2,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
2000000,2,1,523,MAGNIFICENT MILLIONS,20.0,2025-12-31
2,532573,192695,521,WIN IT ALL,2.0,2025-12-31
4,390445,132602,521,WIN IT ALL,2.0,2025-12-31
5,106497,36192,521,WIN IT ALL,2.0,2025-12-31
10,106497,37076,521,WIN IT ALL,2.0,2025-12-31
20,35499,11809,521,WIN IT ALL,2.0,2025-12-31
50,14448,4794,521,WIN IT ALL,2.0,2025-12-31
100,7112,2220,521,WIN IT ALL,2.0,2025-12-31
500,887,256,521,WIN IT ALL,2.0,2025-12-31
1000,91,31,521,WIN IT ALL,2.0,2025-12-31
5000,6,2,521,WIN IT ALL,2.0,2025-12-31
25000,5,2,521,WIN IT ALL,2.0,2025-12-31
10,619944,332905,511,GOLD RUSH,10.0,2025-12-31
15,232479,124158,511,GOLD RUSH,10.0,2025-12-31
20,309972,164161,511,GOLD RUSH,10.0,2025-12-31
25,50496,26679,511,GOLD RUSH,10.0,2025-12-31
