,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,5,20X The Cash,872,250000,4.32,8.0,4.0,,,,"Feb 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/872/20x-the-cash
0,3,15X Cashword,871,75000,3.90,6.0,2.0,,,,"Feb 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/871/15x-cashword
0,2,10X The Cash,870,50000,4.68,10.0,6.0,,,,"Feb 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/870/10x-the-cash
0,1,5X The Cash,869,10000,4.83,10.0,7.0,,,,"Feb 7, 2023",,,2023-05-28,https://nclottery.com/scratch-off/869/5x-the-cash
0,20,100X The Cash,868,2000000,3.24,5.0,2.0,,,,"Dec 30, 2022",,,2023-05-28,https://nclottery.com/scratch-off/868/100x-the-cash
0,5,Ice,867,200000,4.37,6.0,4.0,,,,"Dec 30, 2022",,,2023-05-28,https://nclottery.com/scratch-off/867/ice
0,5,Fire,866,100000,4.36,7.0,4.0,,,,"Dec 30, 2022",,,2023-05-28,https://nclottery.com/scratch-off/866/fire
0,2,Electric 8's,865,20000,4.52,5.0,1.0,,,,"Dec 30, 2022",,,2023-05-28,https://nclottery.com/scratch-off/865/electric-8s
0,10,Triple 777,864,700000,3.70,6.0,3.0,,,,"Dec 6, 2022",,,2023-05-28,https://nclottery.com/scratch-off/864/Triple-777
0,5,Ruby Red 7's,863,200000,4.19,6.0,1.0,,,,"Dec 6, 2022",,,2023-05-28,https://nclottery.com/scratch-off/863/ruby-red-7s
0,3,Loteria,862,75000,3.99,8.0,4.0,,,,"Dec 6, 2022",,,2023-05-28,https://nclottery.com/scratch-off/862/Loteria
0,1,Lucky 7's,861,7000,4.84,10.0,4.0,,,,"Dec 6, 2022",,,2023-05-28,https://nclottery.com/scratch-off/861/lucky-7s
0,20,Holiday Spectacular,860,250000,3.06,2.0,1.0,,,,"Nov 1, 2022","May 26, 2023","Aug 24, 2023",2023-05-28,https://nclottery.com/scratch-off/860/holiday-spectacular
0,5,Holiday $500’s,858,150000,4.17,2.0,1.0,,,,"Nov 1, 2022","May 26, 2023","Aug 24, 2023",2023-05-28,https://nclottery.com/scratch-off/858/holiday-500s
0,3,Holiday Ca$h for Word$,857,75000,3.99,3.0,1.0,,,,"Nov 1, 2022","May 26, 2023","Aug 24, 2023",2023-05-28,https://nclottery.com/scratch-off/857/holiday-cash-for-words
0,1,Holiday $50’s,855,5000,4.78,5.0,1.0,,,,"Nov 1, 2022","May 26, 2023","Aug 24, 2023",2023-05-28,https://nclottery.com/scratch-off/855/holiday-50s
