,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
2,1466,Instant Millions,5000,12.0,7.0,1.1032430617831874e-05,0.5833333333333334,0.02952044132168817,0.05483118017062442,2025-08-08 08:00:43.977000
3,1466,Instant Millions,1000,171.0,61.0,9.613975252682062e-05,0.3567251461988304,0.08210187126137519,0.093255559951016,2025-08-08 08:00:43.977000
4,1466,Instant Millions,500,5939.0,1859.0,0.0029298983597927796,0.31301565920188584,1.3816447597999302,1.3770522291026064,2025-08-08 08:00:43.977000
5,1466,Instant Millions,250,11103.0,3484.0,0.005490998324646608,0.3137890660181933,1.2090610529650372,1.2080196314222538,2025-08-08 08:00:43.977000
6,1466,Instant Millions,100,85267.0,26514.0,0.04178769505731348,0.31095265460260124,2.954365575324396,2.9251386540119437,2025-08-08 08:00:43.977000
7,1466,Instant Millions,50,177049.0,55471.0,0.08742570840025028,0.31330874503668477,1.7527044317785272,1.7485141680050056,2025-08-08 08:00:43.977000
8,1466,Instant Millions,40,455103.0,143326.0,0.22589059296162448,0.3149309057510058,2.252656171499707,2.258905929616245,2025-08-08 08:00:43.977000
9,1466,Instant Millions,0,1285642.75,403768.75,0.6363643885748148,0.314059835051378,-19.090916178082907,-19.090931657244443,2025-08-08 08:00:43.977000
10,1466,Instant Millions,Total,2020295.75,634493.75,1.0000011820461376,0.314059835051378,,,2025-08-08 08:00:43.977000
0,1469,Blackjack Tripler,50000,7.0,3.0,4.030334988009753e-06,0.42857142857142855,0.15825065793638593,0.20149659772554762,2025-08-08 08:00:45.387000
1,1469,Blackjack Tripler,1500,18.0,6.0,8.060669976019506e-06,0.3333333333333333,0.01216843171479475,0.012050701614149163,2025-08-08 08:00:45.387000
2,1469,Blackjack Tripler,500,94.0,28.0,3.761645988809103e-05,0.2978723404255319,0.021040398650665173,0.01862014764460506,2025-08-08 08:00:45.387000
3,1469,Blackjack Tripler,300,372.0,124.0,0.00016658717950440315,0.3333333333333333,0.04962332576668807,0.049143217953798925,2025-08-08 08:00:45.387000
4,1469,Blackjack Tripler,100,2203.0,664.0,0.0008920474773461588,0.30140717203812983,0.09463657493239759,0.08474451034788509,2025-08-08 08:00:45.387000
5,1469,Blackjack Tripler,75,3930.0,1228.0,0.0016497504550919925,0.31246819338422394,0.1243974568836877,0.11548253185643947,2025-08-08 08:00:45.387000
6,1469,Blackjack Tripler,50,12007.0,3675.0,0.004937160360311948,0.30607145831598237,0.24432501605274343,0.22217221621403765,2025-08-08 08:00:45.387000
7,1469,Blackjack Tripler,30,23980.0,7696.0,0.010339152689241021,0.32093411175979986,0.2710878785960406,0.2584788172310255,2025-08-08 08:00:45.387000
8,1469,Blackjack Tripler,25,36898.0,11722.0,0.01574786224315011,0.3176865954794298,0.3336980998978051,0.3149572448630022,2025-08-08 08:00:45.387000
9,1469,Blackjack Tripler,15,101473.0,33146.0,0.04452982783752376,0.3266484680653967,0.4588507140079404,0.4452982783752376,2025-08-08 08:00:45.387000
10,1469,Blackjack Tripler,10,147592.0,49150.0,0.0660303215535598,0.33301262941080817,0.3336980998978051,0.330151607767799,2025-08-08 08:00:45.387000
11,1469,Blackjack Tripler,5,267507.0,93193.0,0.12519966951253098,0.34837593034948616,0.0,0.0,2025-08-08 08:00:45.387000
