,price,gameName,gameNumber,topprize,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto
68,2.0,Papel Picado,1534.0,30000.0,09/19/2022,,,/scratchers/$2/papel-picado-1534,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1534-2-Papel-Picadot-thumbnail.jpg?rev=f1349b577b404bf0bfe3074e1322e260
69,5.0,Space Invaders&trade; Cash Invasion,1535.0,250000.0,09/19/2022,,,/scratchers/$5/space-invaders-cash-invasion-1535,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1535-5-Space-Invadors-Cash-Invasion-thumbnail.jpg?rev=1f03b68985b2460c9257b9007cccbdd8
70,10.0,$50 or $100!,1536.0,100.0,09/19/2022,,,/scratchers/$10/$50-or-$100-1536,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1536-10-50-or-100--thumbnail.jpg?rev=40661bad4d924b32bae8cb2e371f63b8
71,20.0,Instant Prize Crossword,1537.0,2000000.0,09/19/2022,,,/scratchers/$20/instant-prize-crossword-1537,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1537-20-Instant-Prize-Crossword--thumbnail.jpg?rev=5df4ce582cc84e29ac592a58de910b98
72,1.0,"Oh, Snap",1538.0,1000.0,10/24/2022,,,/scratchers/$1/oh-snap-1538,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1538-1-Oh-Snap-thumbnail.jpg?rev=b8f3dd4ce23d4d808359b18c79abb572
73,5.0,Holiday Cash,1539.0,100000.0,10/24/2022,,,/scratchers/$5/holiday-cash-1539,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1539-5-Holiday-Cash-thumbnail.jpg?rev=09a20799836041afad08126e0057697a
74,10.0,The Perfect Gift!,1540.0,1000000.0,10/24/2022,,,/scratchers/$10/the-perfect-gift-1540,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1540-10-The-Perfect-Gift-thumbnail.jpg?rev=3e032a50b56648daa6a33fe327a81871
75,20.0,2023,1541.0,5000000.0,10/24/2022,,,/scratchers/$20/2023-1541,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1541-20-2023-thumbnail.jpg?rev=1cc4c0c95c974a8f87b35126225cc992
76,2.0,Tic-Tac-Bonus,1542.0,30000.0,11/28/2022,,,/scratchers/$2/tic-tac-bonus-1542,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1542-2-Tic-Tac-Bonus-thumbnail.jpg?rev=39d11ec156594257903f3d4da03a1080
77,3.0,Tripling Bonus Crossword,1543.0,20000.0,11/28/2022,,,/scratchers/$3/tripling-bonus-crossword-1543,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1543-3-Tripling-Bonus-Crossword-thumbnail.jpg?rev=ce7c38d052164f26b32854a5c98440c4
78,5.0,Triple 777,1544.0,77777.0,11/28/2022,,,/scratchers/$5/triple-777-1544,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1544-5-Triple-777-thumbnail.jpg?rev=32eb44a417cc475cb3c8c750a9390f06
79,10.0,Winter Riches,1545.0,1000000.0,11/28/2022,,,/scratchers/$10/winter-riches-1545,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1545-10-Winter-Riches-thumbnail.jpg?rev=e750069122f74fbb81354f242a8c3e4c
80,20.0,Year of Fortune,1546.0,5000000.0,11/28/2022,,,/scratchers/$20/year-of-fortune-1546,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1546-20-Year-of-Fortune-thumbnail.jpg?rev=05483a2890414599b703647621ea18ed
81,1.0,Year of the Rabbit,1547.0,888.0,12/19/2022,,,/scratchers/$1/year-of-the-rabbit-1547,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1547-1-Year-of-the-Rabbit-thumbnail-2-tw.jpg?rev=3d48962a387d4812ad1778ed2808adb3
82,3.0,Money Drop Multiplier,1548.0,30000.0,12/19/2022,,,/scratchers/$3/money-drop-multiplier-1548,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1548-3-Money-Drop-Multiplier-thumbnail.jpg?rev=697c400593db4308bea58e4ac69928bf
83,5.0,MEGA Crossword,1549.0,75000.0,12/19/2022,,,/scratchers/$5/mega-crossword-1549,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1549-5-Mega-Crossword-thumbnail.jpg?rev=47d82482de94498aa8cf8ceeff769549
84,20.0,Neon Cash Party,1550.0,5000000.0,12/19/2022,,,/scratchers/$20/neon-cash-party-1550,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1550-20-Neon-Cash-Party-thumbnail.jpg?rev=7eecdfdf28b7464f8208d6474848a00a
85,2.0,X the Money,1551.0,20000.0,01/23/2023,,,/scratchers/$2/x-the-money-1551,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1551-2-X-The-Money-thumbnail.jpg?rev=e135d2d5ab914cbf9a8ca87227f89ed1
86,3.0,"$30,000 Lucky Win",1552.0,30000.0,01/23/2023,,,/scratchers/$3/$30000-lucky-win-1552,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1552330000LuckyWinthumbnail.jpg?rev=62f7920b1a2e4e8095281f6f7d1b261b
87,5.0,Get into the Music,1553.0,250000.0,01/23/2023,,,/scratchers/$5/get-into-the-music-1553,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1553-5-Get-into-the-Music-thumbnail.jpg?rev=8e0a302174974771b053d501fac66287
88,10.0,Mystery Crossword,1554.0,750000.0,01/23/2023,,,/scratchers/$10/mystery-crossword-1554,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1554-10-Mystery-Crossword-thumbnail.jpg?rev=3f3c6dd8a1fe4bbc82c2ce5555b05eb5
89,1.0,The Lucky Spot!,1555.0,1000.0,02/20/2023,,,/scratchers/$1/the-lucky-spot-1555,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1555-1-The-Lucky-Spot-thumbnail.jpg?rev=f5454020afe041b7a8ca068f6f66ea81
90,3.0,LOTERIA™,1556.0,30000.0,02/20/2023,,,/scratchers/$3/loteria-1556,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1556-3-LOTERIA-thumbnail.jpg?rev=406f38b83b9f4f1c8929fffa0388fe89
91,5.0,Joker's Wild Poker,1557.0,75000.0,02/20/2023,,,/scratchers/$5/jokers-wild-poker-1557,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/15575JokersWildPokerthumbnail.jpg?rev=6c4d8920a15f433480897dc5ae59100b
92,10.0,Diamond 8's,1558.0,1000000.0,02/20/2023,,,/scratchers/$10/diamond-8s-1558,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/155810Diamond8sthumbnail.jpg?rev=3b13f1bbee0b429ab9d5dd4ab61c1019
93,30.0,Crossword&nbsp;Xtreme,1559.0,7000000.0,02/20/2023,,,/scratchers/$30/crosswordxtreme-1559,https://static.www.calottery.com/-/media/Project/calottery/PWS/Scratchers/1559-30-Crossword-Xtreme-thumbnail.jpg?rev=76f0da644b854969a6a9e85bcfef8d80
