,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,2,Pinball Payout,1630,20000.0,6.86,20.0,9.0,,,,07/22/2024,02/10/2025,08/09/2025,2025-05-12
0,3,KA POW,1631,30000.0,5.99,29.0,13.0,,,,07/22/2024,,,2025-05-12
0,5,Winner Winner Chicken Dinner,1632,250000.0,7.42,15.0,3.0,,,,07/22/2024,,,2025-05-12
0,10,Single Double Triple,1633,1000000.0,3.96,8.0,4.0,,,,07/22/2024,,,2025-05-12
0,20,Instant Prize Crossword,1634,2000000.0,5.29,19.0,5.0,,,,07/22/2024,,,2025-05-12
0,2,Pumpkin Patch Cash,1635,30000.0,7.13,27.0,18.0,,,,08/19/2024,04/10/2025,10/07/2025,2025-05-12
0,5,Lucky 7,1636,77777.0,5.01,15.0,5.0,,,,08/19/2024,,,2025-05-12
0,10,$100 Million Mega Cash,1637,1000000.0,4.13,8.0,1.0,,,,08/19/2024,,,2025-05-12
0,30,200X,1638,10000000.0,2.71,5.0,2.0,,,,08/19/2024,,,2025-05-12
0,2,Set For Life,1639,1200000.0,7.98,2.0,0.0,Top Prize Claimed,,,09/23/2024,03/13/2025,09/09/2025,2025-05-12
0,5,Red Hot Poker,1640,75000.0,5.31,32.0,14.0,,,,09/23/2024,,,2025-05-12
0,10,LOTERIA GRANDE,1641,1000000.0,4.43,7.0,2.0,,,,09/23/2024,,,2025-05-12
0,20,$100 or $200!,1642,200.0,7.94,315293.0,44208.0,,,,09/23/2024,,,2025-05-12
0,1,Merry Wishes,1643,5000.0,8.18,90.0,14.0,,,,10/21/2024,04/10/2025,10/07/2025,2025-05-12
0,5,Peppermint Payout,1644,250000.0,7.42,9.0,3.0,,,,10/21/2024,04/10/2025,10/07/2025,2025-05-12
0,10,Winter Magic Multiplier,1645,1000000.0,3.61,4.0,0.0,Top Prize Claimed,,,10/21/2024,02/28/2025,08/27/2025,2025-05-12
0,25,2025,1646,7500000.0,3.28,4.0,1.0,,,,10/21/2024,,,2025-05-12
0,2,Top Dog Top Cat,1647,30000.0,7.13,27.0,12.0,,,,10/21/2024,,,2025-05-12
0,3,Frosty Fun Crossword,1648,20000.0,3.95,10.0,1.0,,,,11/18/2024,,,2025-05-12
0,5,20X The Cash,1649,250000.0,5.24,22.0,5.0,,,,11/18/2024,,,2025-05-12
0,10,Triple Red 777,1650,1000000.0,4.13,13.0,4.0,,,,11/18/2024,,,2025-05-12
0,20,Maximum Millions,1651,5000000.0,4.29,3.0,0.0,Top Prize Claimed,,,11/18/2024,03/03/2025,08/30/2025,2025-05-12
0,1,Year of the Snake,1652,888.0,8.79,37.0,6.0,,,,12/16/2024,,,2025-05-12
0,5,LOTERIA&trade; Extra!,1653,100000.0,5.40,12.0,6.0,,,,12/16/2024,,,2025-05-12
0,10,"1,000 Loaded",1654,1000.0,4.13,17887.0,5509.0,,,,12/16/2024,,,2025-05-12
0,20,100X,1655,5000000.0,3.00,8.0,4.0,,,,12/16/2024,04/10/2025,10/07/2025,2025-05-12
0,2,40 Years of Play!,1656,40000.0,6.61,16.0,9.0,,,,01/20/2025,,,2025-05-12
0,3,Bingo Extra,1657,20000.0,5.07,33.0,24.0,,,,01/20/2025,,,2025-05-12
0,5,Tic Tac Toe Bonus,1658,250000.0,5.24,14.0,11.0,,,,01/20/2025,,,2025-05-12
0,10,Mystery Crossword,1659,750000.0,7.79,45.0,28.0,,,,01/20/2025,,,2025-05-12
0,40,40 Years of Play!,1660,15000000.0,2.85,5.0,3.0,,,,01/20/2025,,,2025-05-12
0,1,Beginner's Luck,1661,5000.0,8.18,77.0,40.0,,,,02/17/2025,,,2025-05-12
0,2,Win it All,1662,20000.0,6.15,14.0,6.0,,,,02/17/2025,,,2025-05-12
0,5,Hot Spot Multiplier,1663,500000.0,5.34,15.0,7.0,,,,02/17/2025,,,2025-05-12
0,20,Cash King,1664,5000000.0,3.00,6.0,3.0,,,,02/17/2025,,,2025-05-12
0,2,MONOPOLY,1665,30000.0,6.95,28.0,26.0,,,,03/24/2025,,,2025-05-12
0,3,LOTERIA™,1666,30000.0,5.99,47.0,44.0,,,,03/24/2025,,,2025-05-12
0,5,MONOPOLY,1667,100000.0,4.88,19.0,16.0,,,,03/24/2025,,,2025-05-12
0,10,Joker's Wild Poker,1668,750000.0,7.62,14.0,10.0,,,,03/24/2025,,,2025-05-12
0,20,MONOPOLY,1669,5000000.0,4.96,6.0,4.0,,,,03/24/2025,,,2025-05-12
0,2,Mystery Fortune,1670,20000.0,6.45,16.0,16.0,,,,04/21/2025,,,2025-05-12
0,10,50X The Cash,1671,1000000.0,4.11,14.0,14.0,,,,04/21/2025,,,2025-05-12
0,20,Double The Luck,1672,5000000.0,5.79,4.0,4.0,,,,04/21/2025,,,2025-05-12
0,30,Crossword Xtreme,1673,7000000.0,3.73,3.0,3.0,,,,04/21/2025,,,2025-05-12
