,gameNumber,price,topprize,overallodds,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,dateexported,extrachances,secondChance,topprizeodds,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,Photo,topprizestarting,topprizeremain,topprizeodds_y,Total at start,Total remaining,Non-prize at start,Non-prize remaining,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Probability of Winning Profit Prize,Change in Probability of Any Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Profit Prizes Remaining,Percent of Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
10,421,2.0,2500.0,3.61,Available,2025-08-13,,,https://www.kslottery.com/InstantGame/?gameid=421,2026-01-30,,,0,That'S Wild,341284,341284,https://www.kslottery.com/TicketArt/Front/ThatsWildF_421.jpg,6,6,205339.20666666667,1232035.24,1232035.24,890751.24,890751.24,205339.20666666667,0,3.61,0,7.18,7.177893884399597,0.0,0.2770083102493075,0.1393166318846529,0,0,0.041214707607333284,0.018446296604383284,329981.96921585314,170329.8204908237,8.0,0.36,0,0,0,1.0,0,0,,,,2026-01-30,170,34.0,35.333333333333336,31.5,27.0,28.5,31.26666666666667,49.5,8.0,/kansas-statistics-for-each-scratcher-game
11,436,2.0,20000.0,4.0,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=436,2026-01-30,,,0,Burning Hot 7S,110939,110939,https://www.kslottery.com/TicketArt/Front/BurningHot7sF_436.jpg,2,2,221878.0,443756.0,443756.0,332817.0,332817.0,221878.0,0,4.0,0,16.51,16.514923706736138,0.0,0.25,0.06055129395433526,0,0,0.039786980123888246,0.031069770829171277,107724.47630189032,26719.1983280938,8.0,0.22,0,0,0,1.0,0,0,,,,2026-01-30,369,28.333333333333332,23.0,17.5,27.0,23.833333333333332,23.93333333333333,6.0,1.0,/kansas-statistics-for-each-scratcher-game
12,458,2.0,20000.0,4.05,Available,2025-12-17,,,https://www.kslottery.com/InstantGame/?gameid=458,2026-01-30,,,0,Double Bonus Crossword,1823386,1823386,https://www.kslottery.com/TicketArt/Front/Dbl%20Bonus%20XwordF_458.jpg,31,31,238216.5580645161,7384713.3,7384713.3,5561327.3,5561327.3,238216.5580645161,0,4.05,0,12.51,12.508364584286106,0.0,0.2469135802469136,0.07994650245934395,0,0,0.05002653973652804,0.05002653973652804,1758231.740709176,583382.3794839397,5.0,0.24,0,0,0,1.0,0,0,,,,2026-01-30,44,35.833333333333336,35.666666666666664,18.5,27.0,24.166666666666668,28.23333333333333,38.0,6.0,/kansas-statistics-for-each-scratcher-game
13,466,2.0,10000.0,3.21,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=466,2026-01-30,,,0,Chillin' With My Gnomies,199633,199633,https://www.kslottery.com/TicketArt/Front/Chillin%20with%20my%20GnomiesF_466.jpg,7,7,91545.98999999999,640821.9299999999,640821.9299999999,441188.92999999993,441188.92999999993,91545.98999999999,0,3.21,0,13.94,13.936667971553467,0.0,0.31152647975077885,0.07175316238007023,0,0,0.05103069084906119,0.04682159503807264,190545.4611935872,45522.19127836756,6.0,0.18,0,0,0,1.0,0,0,,,,2026-01-30,137,31.333333333333332,28.333333333333332,15.0,27.0,23.0,24.93333333333333,13.0,3.0,/kansas-statistics-for-each-scratcher-game
14,477,2.0,20000.0,4.0,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=477,2026-01-30,,,0,20X,471896,471896,https://www.kslottery.com/TicketArt/Front/KS%2020XF_477.jpg,4,4,471896.0,1887584.0,1887584.0,1415688.0,1415688.0,471896.0,0,4.0,0,14.97,14.973457505037205,0.0,0.25,0.06678484242290675,0,0,0.038155283680950156,0.030057283768288687,458767.691442031,125307.38478408536,8.0,0.27,0,0,0,1.0,0,0,,,,2026-01-30,4,35.0,34.0,22.0,27.0,25.333333333333332,28.666666666666668,39.0,7.0,/kansas-statistics-for-each-scratcher-game
15,263,3.0,15000.0,4.01,Available,2024-08-04,,,https://www.kslottery.com/InstantGame/?gameid=263,2026-01-30,,,0,Red Hot Cash,218851,218851,https://www.kslottery.com/TicketArt/Front/RedHotCashP1_263.jpg,4,4,219398.1275,877592.51,877592.51,658741.51,658741.51,219398.1275,0,4.01,0,6.41,6.4131341025847135,0.0,0.24937655860349128,0.15592999990394174,0,0,0.025692264248321776,0.014982605285083708,214723.7633405441,135890.58192250278,7.0,0.39,0,0,0,1.0,0,0,,,,2026-01-30,544,32.333333333333336,34.333333333333336,35.0,27.0,29.666666666666668,31.666666666666668,52.0,2.0,/kansas-statistics-for-each-scratcher-game
16,433,3.0,15000.0,4.16,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=433,2026-01-30,,,0,Word Games,200388,200388,https://www.kslottery.com/TicketArt/Front/KS%20Word%20GamesF_433.jpg,2,2,416807.04000000004,833614.0800000001,833614.0800000001,633226.0800000001,633226.0800000001,416807.04000000004,0,4.16,0,7.77,7.772987831600542,0.0,0.24038461538461536,0.12865065810788606,0,0,0.032367481058888155,0.032367481058888155,195817.24685440134,105921.79389245935,5.0,0.28,0,0,0,1.0,0,0,,,,2026-01-30,228,31.666666666666668,33.0,23.0,27.0,25.666666666666668,28.06666666666667,36.0,1.0,/kansas-statistics-for-each-scratcher-game
17,406,5.0,25000.0,3.68,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=406,2026-01-30,,,0,Psychedelic Payout,87158,87158,https://www.kslottery.com/TicketArt/Front/KS%20Psychedelic%20PayoutF_406.jpg,2,2,160370.72,320741.44,320741.44,233583.44,233583.44,160370.72,0,3.68,0,9.92,9.916873512042791,0.0,0.2717391304347826,0.10083823281456865,0,0,0.03463583023155611,0.024234865445402935,84764.6092798946,32107.606199201782,7.0,0.29,0,0,0,1.0,0,0,,,,2026-01-30,348,25.666666666666668,25.333333333333332,25.5,27.0,26.5,26.0,18.5,6.0,/kansas-statistics-for-each-scratcher-game
18,413,5.0,25000.0,3.8,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=413,2026-01-30,,,0,Deluxe Dollars,37458,37458,https://www.kslottery.com/TicketArt/Front/KSDeluxeDollarsF_413.jpg,1,1,142340.4,142340.4,142340.4,104882.4,104882.4,142340.4,0,3.8,0,12.49,12.485999999999999,0.0,0.2631578947368421,0.08008970046452027,0,0,0.03749546324869238,0.030550299487740823,36381.05946465362,11316.930414835382,7.0,0.3,0,0,0,1.0,0,0,,,,2026-01-30,348,20.666666666666668,19.333333333333332,28.5,27.0,27.5,24.6,12.0,4.0,/kansas-statistics-for-each-scratcher-game
19,437,5.0,50000.0,3.94,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=437,2026-01-30,,,0,Blazing Hot 7S,53349,53349,https://www.kslottery.com/TicketArt/Front/BlazingHot7sF_437.jpg,1,1,210195.06,210195.06,210195.06,156846.06,156846.06,210195.06,0,3.94,0,12.51,12.510121414117366,0.0,0.25380710659898476,0.07993527535804124,0,0,0.03451031374861978,0.024174603177763387,51983.04725602926,16705.156687157647,8.0,0.28,0,0,0,1.0,0,0,,,,2026-01-30,369,21.166666666666668,19.666666666666668,22.5,27.0,25.5,23.166666666666668,3.0,2.0,/kansas-statistics-for-each-scratcher-game
20,444,5.0,25000.0,3.77,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=444,2026-01-30,,,0,Kansas Grande Loteria,127803,127803,https://www.kslottery.com/TicketArt/Front/KS%20Kansas%20Grande%20Loteria4F_444.jpg,3,3,160605.77,481817.31,481817.31,354014.31,354014.31,160605.77,0,3.77,0,11.13,11.12870562420603,0.0,0.26525198938992045,0.08985770976140313,0,0,0.031173069431818235,0.028798949685812213,124709.43821515847,42961.47192133473,6.0,0.3,0,0,0,1.0,0,0,,,,2026-01-30,319,29.333333333333332,28.0,27.5,27.0,27.166666666666668,27.8,35.0,10.0,/kansas-statistics-for-each-scratcher-game
21,446,5.0,100.0,9.83,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=446,2026-01-30,,,0,"$25, $50 Or $100",5576,5576,https://www.kslottery.com/TicketArt/Front/KS%2025%2050%20or%20100F_446.jpg,296,296,185.17594594594595,54812.08,54812.08,49236.08,49236.08,185.17594594594595,0,9.83,0,9.83,9.83,0.0,0.10172939979654119,0.10172939979654119,0,0,0.037884942727518786,0.037884942727518786,5512.266962912895,5512.266962912895,16.0,0.59,0,0,0,1.0,0,0,,,,2026-01-30,228,18.666666666666668,18.666666666666668,39.0,27.0,31.0,26.866666666666667,27.0,8.0,/kansas-statistics-for-each-scratcher-game
22,449,5.0,25000.0,3.04,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=449,2026-01-30,,,0,Tiger And Dragon,87140,87140,https://www.kslottery.com/TicketArt/Front/TigerandDragonF_449.jpg,2,2,132452.8,264905.6,264905.6,177765.59999999998,177765.59999999998,132452.8,0,3.04,0,9.15,9.154247010850783,0.0,0.32894736842105265,0.10923891378664703,0,0,0.04697250742390308,0.038099140332421635,83279.61921213628,28581.143668011813,6.0,0.22,0,0,0,1.0,0,0,,,,2026-01-30,256,25.333333333333332,24.0,18.0,27.0,24.0,23.666666666666664,5.0,3.0,/kansas-statistics-for-each-scratcher-game
23,453,5.0,50000.0,3.6,Available,2025-11-11,,,https://www.kslottery.com/InstantGame/?gameid=453,2026-01-30,,,0,Super Red Hot Crossword,434427,434427,https://www.kslottery.com/TicketArt/Front/Super%20Red%20Hot%20XwordF_453.jpg,6,6,260656.19999999998,1563937.2,1563937.2,1129510.2,1129510.2,260656.19999999998,0,3.6,0,12.75,12.752572225347977,0.0,0.2777777777777778,0.07841555274725866,0,0,0.046831585536658234,0.04902569670337758,418109.7158968891,121238.73771714696,5.0,0.25,0,0,0,1.0,0,0,,,,2026-01-30,80,34.333333333333336,33.666666666666664,19.0,27.0,24.333333333333332,27.666666666666668,33.5,9.0,/kansas-statistics-for-each-scratcher-game
24,455,5.0,25000.0,3.73,Available,2025-07-18,,,https://www.kslottery.com/InstantGame/?gameid=455,2026-01-30,,,0,Yellowstone,94880,94880,https://www.kslottery.com/TicketArt/Front/KS%20YellowstoneF_455.jpg,1,1,353902.4,353902.4,353902.4,259022.40000000002,259022.40000000002,353902.4,0,3.73,0,10.28,10.276508508043442,0.0,0.26809651474530827,0.09730931465850472,0,0,0.03440491623514094,0.023750877311831037,92325.22130922148,34200.866758770244,7.0,0.28,0,0,0,1.0,0,0,,,,2026-01-30,196,26.666666666666668,26.0,24.0,27.0,26.0,25.933333333333337,17.0,5.0,/kansas-statistics-for-each-scratcher-game
25,457,5.0,50000.0,3.31,Available,2025-08-15,,,https://www.kslottery.com/InstantGame/?gameid=457,2026-01-30,,,0,Rivalry Riches,81643,81643,https://www.kslottery.com/TicketArt/Front/KS%20Rivalry%20RichesF_457.jpg,2,2,135119.165,270238.33,270238.33,188595.33000000002,188595.33000000002,135119.165,0,3.31,0,8.0,7.997583012725659,0.0,0.3021148036253776,0.1250377768394291,0,0,0.0365855789745392,0.030302971718103443,79022.67640332335,33410.224354496044,6.0,0.3,0,0,0,1.0,0,0,,,,2026-01-30,168,24.0,25.666666666666668,27.0,27.0,27.0,26.133333333333336,20.5,7.0,/kansas-statistics-for-each-scratcher-game
26,467,5.0,500.0,3.62,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=467,2026-01-30,,,0,Full Of $500S,30767,30767,https://www.kslottery.com/TicketArt/Front/Full%20of%20%24500sGrF_467.jpg,82,82,1358.250487804878,111376.54000000001,111376.54000000001,80609.54000000001,80609.54000000001,1358.250487804878,0,3.62,0,10.9,10.895767951477207,0.0,0.2762430939226519,0.09177875340713583,0,0,0.044973633973537895,0.046284632627859444,29661.487660906983,10093.37170955721,6.0,0.12,0,0,0,1.0,0,0,,,,2026-01-30,137,19.166666666666668,19.0,14.5,27.0,22.833333333333332,20.5,1.0,1.0,/kansas-statistics-for-each-scratcher-game
27,478,5.0,50000.0,3.94,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=478,2026-01-30,,,0,50X,278815,278815,https://www.kslottery.com/TicketArt/Front/KS%2050XF_478.jpg,4,4,274632.775,1098531.1,1098531.1,819716.1000000001,819716.1000000001,274632.775,0,3.94,0,10.93,10.928809057174409,0.0,0.25380710659898476,0.09150127838893227,0,0,0.032548483897456224,0.02316793698097335,272072.2047399069,99881.78306733737,7.0,0.34,0,0,0,1.0,0,0,,,,2026-01-30,4,33.833333333333336,32.666666666666664,30.5,27.0,28.166666666666668,30.43333333333333,47.0,11.0,/kansas-statistics-for-each-scratcher-game
28,264,10.0,75000.0,2.78,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=264,2026-01-30,,,0,"$75,000 Cashout",114353,114353,https://www.kslottery.com/TicketArt/Front/75KCashoutP1_264.jpg,4,4,79475.33499999999,317901.33999999997,317901.33999999997,203548.33999999997,203548.33999999997,79475.33499999999,0,2.78,0,6.12,6.120078161096565,0.0,0.3597122302158274,0.16339660600361108,0,0,0.038907012013193666,0.030060775884482208,109745.23816578386,51189.694953357175,5.0,0.28,0,0,0,1.0,0,0,,,,2026-01-30,348,28.666666666666668,29.0,23.5,27.0,25.833333333333332,26.8,26.0,6.0,/kansas-statistics-for-each-scratcher-game
29,332,10.0,100000.0,3.44,Available,2023-11-15,,,https://www.kslottery.com/InstantGame/?gameid=332,2026-01-30,,,0,Spectacular Slots,59849,59849,https://www.kslottery.com/TicketArt/Front/Spectacular%20SlotsF_332.jpg,2,2,102940.28,205880.56,205880.56,146031.56,146031.56,102940.28,0,3.44,0,11.23,11.23434246425843,0.0,0.29069767441860467,0.08901277517411066,0,0,0.04299958975716411,0.03699085663837154,57685.803024814304,18146.746862459204,7.0,0.33,0,0,0,1.0,0,0,,,,2026-01-30,807,22.0,20.333333333333332,30.0,27.0,28.0,25.466666666666665,15.0,4.0,/kansas-statistics-for-each-scratcher-game
30,438,10.0,100000.0,3.15,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=438,2026-01-30,,,0,Smoking Hot 7S,90567,90567,https://www.kslottery.com/TicketArt/Front/SmokingHot7sF_438.jpg,1,1,285286.05,285286.05,285286.05,194719.05,194719.05,285286.05,0,3.15,0,10.61,10.613715167974998,0.0,0.3174603174603175,0.09421771586798584,0,0,0.047100981050199144,0.030898611806173554,86678.75760075434,26646.28229848222,7.0,0.25,0,0,0,1.0,0,0,,,,2026-01-30,369,26.166666666666668,22.666666666666668,19.5,27.0,24.5,23.96666666666667,7.0,2.0,/kansas-statistics-for-each-scratcher-game
31,442,10.0,200.0,9.41,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=442,2026-01-30,,,0,"$50, $100 Or $200",22989,22989,https://www.kslottery.com/TicketArt/Front/KS%2050%20100%20or%20200F_442.jpg,1847,1847,117.1231672983216,216326.49,216326.49,193337.49,193337.49,117.1231672983216,0,9.41,0,9.41,9.41,0.0,0.10626992561105207,0.10626992561105207,0,0,0.04445392493385109,0.04445392493385109,22667.744879083588,22667.744879083588,16.0,0.61,0,0,0,1.0,0,0,,,,2026-01-30,319,19.0,21.666666666666668,39.5,27.0,31.166666666666668,27.666666666666668,33.5,9.0,/kansas-statistics-for-each-scratcher-game
32,450,10.0,75000.0,3.47,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=450,2026-01-30,,,0,Tiger And Dragon Doubler,72043,72043,https://www.kslottery.com/TicketArt/Front/TigerandDragonDoublerF_450.jpg,1,1,249989.21000000002,249989.21000000002,249989.21000000002,177946.21000000002,177946.21000000002,249989.21000000002,0,3.47,0,8.23,8.23362130294447,0.0,0.28818443804034577,0.12145324192192133,0,0,0.054992816724327466,0.02323277837990161,68773.23027543766,30107.140384358372,10.0,0.36,0,0,0,1.0,0,0,,,,2026-01-30,256,22.833333333333332,24.666666666666668,32.0,27.0,28.666666666666668,27.03333333333333,30.0,8.0,/kansas-statistics-for-each-scratcher-game
33,454,10.0,100000.0,3.08,Available,2025-07-01,,,https://www.kslottery.com/InstantGame/?gameid=454,2026-01-30,,,0,"$100,000 Crossword",80863,80863,https://www.kslottery.com/TicketArt/Front/100000%20CrosswordF_454.jpg,1,1,249058.04,249058.04,249058.04,168195.04,168195.04,249058.04,0,3.08,0,5.8,5.802843429636534,0.0,0.3246753246753247,0.1723293092646196,0,0,0.04580016474726192,0.024391884558185636,77409.7102445722,42385.505640607575,7.0,0.31,0,0,0,1.0,0,0,,,,2026-01-30,213,23.666666666666668,27.666666666666668,29.0,27.0,27.666666666666668,27.0,28.5,7.0,/kansas-statistics-for-each-scratcher-game
34,456,10.0,75000.0,3.47,Available,2025-07-18,,,https://www.kslottery.com/InstantGame/?gameid=456,2026-01-30,,,0,Chiefs Kingdom,72057,72057,https://www.kslottery.com/TicketArt/Front/KS%20Chiefs%20KingdomF_456.jpg,1,1,250037.79,250037.79,250037.79,177980.79,177980.79,250037.79,0,3.47,0,7.78,7.784004420646286,0.0,0.2881844380403458,0.128468580689343,0,0,0.02983321554012168,0.024765789746513722,70245.20714235866,31818.298238662173,6.0,0.3,0,0,0,1.0,0,0,,,,2026-01-30,196,23.5,25.0,26.5,27.0,26.833333333333332,25.76666666666667,16.0,5.0,/kansas-statistics-for-each-scratcher-game
35,461,10.0,75000.0,3.16,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=461,2026-01-30,,,0,Black Diamond Club,60478,60478,https://www.kslottery.com/TicketArt/Front/KS%20Black%20Diamond%20ClubF_461.jpg,1,1,191110.48,191110.48,191110.48,130632.48000000001,130632.48000000001,191110.48,0,3.16,0,6.97,6.969493453922177,0.0,0.3164556962025316,0.14348245056995304,0,0,0.03291938589328833,0.028644955145604226,58645.18652592028,27087.01319743024,5.0,0.26,0,0,0,1.0,0,0,,,,2026-01-30,228,22.333333333333332,23.333333333333332,20.5,27.0,24.833333333333332,23.599999999999998,4.0,1.0,/kansas-statistics-for-each-scratcher-game
36,468,10.0,75000.0,2.74,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=468,2026-01-30,,,0,Peppermint Payout Multiplier,56862,56862,https://www.kslottery.com/TicketArt/Front/PeppermintPayoutMultiF_468.jpg,2,2,77900.94,155801.88,155801.88,98939.88,98939.88,77900.94,0,2.74,0,7.85,7.85252154629303,0.0,0.36496350364963503,0.12734762892463172,0,0,0.05565303077496832,0.034474955744511565,53596.17216883296,19583.073075392804,6.0,0.29,0,0,0,1.0,0,0,,,,2026-01-30,137,21.666666666666668,20.666666666666668,26.0,27.0,26.666666666666668,24.400000000000002,10.0,3.0,/kansas-statistics-for-each-scratcher-game
37,470,10.0,2026.0,3.66,Available,2025-11-14,,,https://www.kslottery.com/InstantGame/?gameid=470,2026-01-30,,,0,2026,83729,83729,https://www.kslottery.com/TicketArt/Front/KS%202026F_470.jpg,343,343,893.4348104956268,306448.14,306448.14,222719.14,222719.14,893.4348104956268,0,3.66,0,5.85,5.846796405471925,0.0,0.27322404371584696,0.171033833000259,0,0,0.028889338548476553,0.02953915277418069,81792.17873596652,51630.45863900213,5.0,0.39,0,0,0,1.0,0,0,,,,2026-01-30,77,25.0,29.333333333333332,34.0,27.0,29.333333333333332,28.93333333333333,41.0,11.0,/kansas-statistics-for-each-scratcher-game
