,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,1,5 TIMES LUCKY                 ,1614,5000,4.77,679287.50,20,6,,,,2024-06-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1614
0,2,CASHWORD DOUBLER              ,1619,20000,5.09,2685375.00,26,16,,,,2024-04-18,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1619
0,5,PINK PANTHER DIAMOND 7S       ,1615,1000000,4.57,2021700.00,3,1,,,,2024-07-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1615
0,3,EXTRA! EXTRA! BONUS CASHWORD  ,1616,60000,4.07,3458266.67,3,1,,,,2024-07-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1616
0,2,TRIPLE 7-11-21                ,1617,21000,4.91,2470562.50,4,1,,,,2024-07-02,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1617
0,2,WIN FOR LIFE                  ,1624,1000 a Week for Life,3.97,4809700.00 	,10,9,,,,2024-08-30,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1624
0,1,LOOSE CHANGE                  ,1618,500,4.7,47982.90,1555,1088,,,,2024-07-16,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1618
0,20,WIN $100 OR $200              ,1621,200,8.0,50.04,123505,38400,,,,2024-08-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1621
0,5,25X THE GOLD                  ,1622,500000,4.23,3046833.33,3,1,,,,2024-08-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1622
0,1,DOUBLE DOUBLER                ,1623,4000,4.84,1033600.00,10,3,,,,2024-08-06,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1623
0,1,INSTANT TAKE 5                ,1628,5555,4.69,528431.58,95,84,,,,2024-09-04,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1628
0,5,DOUBLE TRIPLE CASHWORD        ,1632,300000,5.14,4626530.00,10,10,,,,2024-08-21,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1632
0,10,"$1,000,000 CASHWORD BONUS     ",1633,1000000,4.32,4559550.00,4,3,,,,2024-08-08,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1633
0,2,CASH DROP                     ,1627,25000,4.81,1231281.25,8,5,,,,2024-09-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1627
0,10,"$3,000,000 GRANDE             ",1625,3000000,3.93,4942225.00,2,1,,,,2024-09-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1625
0,5,"$1,000,000 GRANDE             ",1626,1000000,4.01,3705900.00,2,1,,,,2024-09-03,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1626
0,30,"$100, $200 0R $500            ",1629,500,6.25,99.99,61795,44833,,,,2024-10-01,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1629
0,5,MONEY RUSH                    ,1630,500000,4.6,2057866.67,3,2,,,,2024-10-01,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1630
0,3,MULTIPLY YOUR NUMBERS         ,1631,60000,4.12,2594450.00,4,4,,,,2024-10-01,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1631
0,5,HOLIDAY RICHES                ,1635,500000,3.95,2470300.00,2,1,,,,2024-11-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1635
0,2,SNOW MUCH FUN MULTIPLIER      ,1636,25000,4.79,1812125.00,4,4,,,,2024-11-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1636
0,10,"$1,000,000 HOLIDAY CASH       ",1634,1000000,3.55,2422250.00,2,2,,,,2024-11-05,,          ,11/17/2024,https://nylottery.ny.gov/scratch-off-game?game=1634
