gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
502,DIAMONDS & GOLD,20.0,200000000,3.04,2,1,Available,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=502,https://www.molottery.com/media/scratchers/tile/502.png,2026-04-18,,,0
493,"$1,000,000* CASH CRAZE",10.0,100000000,3.18,2,1,Available,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=493,https://www.molottery.com/media/scratchers/tile/493.png,2026-04-18,,,0
498,"$5,000 CASH CRAZE",1.0,50000,4.7,6,4,Available,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=498,https://www.molottery.com/media/scratchers/tile/498.png,2026-04-18,,,0
499,"$50,000 CASH QUEST",3.0,500000,3.82,5,0,Claimed,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=499,https://www.molottery.com/media/scratchers/tile/499.png,2026-04-18,,,0
495,"$100,000 CASH CRAZE",5.0,1000000,4.04,4,1,Available,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=495,https://www.molottery.com/media/scratchers/tile/495.png,2026-04-18,,,0
496,"$25,000 CASH CRAZE",2.0,250000,4.29,6,4,Available,2024-12-30,,,https://www.molottery.com/scratchers.do?method=d&game=496,https://www.molottery.com/media/scratchers/tile/496.png,2026-04-18,,,0
490,BIG CASH RICHES,5.0,1000000,3.99,7,1,Available,2024-11-25,,,https://www.molottery.com/scratchers.do?method=d&game=490,https://www.molottery.com/media/scratchers/tile/490.png,2026-04-18,,,0
491,$100 FRENZY,2.0,300000,4.44,5,2,Available,2024-11-25,,,https://www.molottery.com/scratchers.do?method=d&game=491,https://www.molottery.com/media/scratchers/tile/491.png,2026-04-18,,,0
494,$3 MILLION* SUPREME,30.0,300000000,3.04,3,1,Available,2024-10-22,,,https://www.molottery.com/scratchers.do?method=d&game=494,https://www.molottery.com/media/scratchers/tile/494.png,2026-04-18,,,0
487,ELECTRIC CASH,5.0,1000000,4.04,5,2,Available,2024-09-30,,,https://www.molottery.com/scratchers.do?method=d&game=487,https://www.molottery.com/media/scratchers/tile/487.png,2026-04-18,,,0
