,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,5,Livin Lucky with Luke Combs,2194,200000,"1,387,200",4.01,1,,,,2/7/2023,,,2026-01-11,https://www.valottery.com/scratchers/2194,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2194_teaser.jpg?rev=cfd06b6b1c8d4111ab2a777b69b01ea0
0,5,Big Wins!,2182,150000,"2,040,000",5.33,1,,,,3/7/2023,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2182,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2182_teaser.jpg?rev=5a4b3702f1ba4ee8b771d315ac42d5ce
0,5,10X The Money,2146,100000,"1,713,600",4.48,0,Top Prize Claimed,,,9/6/2022,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2146,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2146_teaser.jpg?rev=5aaa90edf35e49e9a0c56f1c82ef9037
0,5,MONOPOLY FORTUNES,2136,200000,"2,040,000",4.12,1,,,,2/1/2022,,,2026-01-11,https://www.valottery.com/scratchers/2136,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2136_teaser.jpg?rev=d6873351654343679d4e2f2b49a613db
0,5,"$100,000 Extreme Cash",2324,100000,"1,101,600",4.18,0,Top Prize Claimed,,,1/7/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2324,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2324_teaser.jpg?rev=d4e3a717e1074620bfa8de8817c0eae9
0,5,LINCOLN,2328,100000,"765,000",3.9,0,Top Prize Claimed,,,2/4/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2328,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2328_teaser.jpg?rev=497da3d7d99e4ec7ad3e9ccff5a652d8
0,5,Lets Make A Deal,2303,100000,"1,305,600",4.28,1,,,,10/1/2024,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2303,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2303_teaser.jpg?rev=96c93aac932042e78939240aedb2a889
0,5,BINGO MULTIPLIER,2318,100000,"1,387,200",3.53,1,,,,10/4/2024,,,2026-01-11,https://www.valottery.com/scratchers/2318,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2318_teaser.jpg?rev=8aeb985e978b4fd496fad4ecb3b48ae2
0,5,10 YEARS OF CASH,2357,600000,"1,876,800",4.29,1,,,,8/5/2025,,,2026-01-11,https://www.valottery.com/scratchers/2357,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2357_teaser.jpg?rev=73ac927502204973aa22d7f458852bfc
0,5,Cash Boom,2346,200,"1,530",6.75,115,,,,6/3/2025,,,2026-01-11,https://www.valottery.com/scratchers/2346,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2346_teaser.jpg?rev=d84f018d17ff44279300ece01eb06a89
0,5,PINK PANTHER DIAMOND TRIPLER,2363,100000,"1,101,600",4.19,1,,,,10/7/2025,,,2026-01-11,https://www.valottery.com/scratchers/2363,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2363_teaser.jpg?rev=33a90314e7174c0ab9f718e8d5abe0df
0,5,GOLD HARD CASH,2383,100000,"1,060,800",4.76,3,,,,1/6/2026,,,2026-01-11,https://www.valottery.com/scratchers/2383,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2383_teaser.jpg?rev=009ce6f6eb7b4db2bb3be30ddfe76bff
0,5,Cashing Through The Snow,2372,100000,"538,560",4.66,2,,,,11/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2372,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2372_teaser.jpg?rev=0c394f45bac04a55b9ae50ea3a076829
0,5,MONEY TREE,2308,100000,"1,020,000",4.26,0,Top Prize Claimed,,,11/5/2024,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2308,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2308_teaser.jpg?rev=89a654752ef64cc2b28363a4421b8fa8
0,5,CLUE,2342,100000,"1,101,600",4.54,1,,,,5/6/2025,,,2026-01-11,https://www.valottery.com/scratchers/2342,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2342_teaser2.jpg?rev=93a14231f91346d795b535c86933a3af
0,5,RED 7S DOUBLER,2319,100000,"1,183,200",3.79,2,,,,9/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2319,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2319_teaser.jpg?rev=da39f36df5c94f42a06b9bbed7bb23eb
0,5,Cash Vault,2366,150000,"1,060,800",3.82,2,,,,12/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2366,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2366_teaser.jpg?rev=2f74291ad47a484d91072f90e1e85359
0,5,DOUBLE SIDED DOLLARS,2352,100000,"979,200",4.05,1,,,,7/1/2025,,,2026-01-11,https://www.valottery.com/scratchers/2352,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2352_teaser.jpg?rev=908cb41d5d7d479bb3cb7d63893438cf
0,5,Virginia Lottery Green,2272,100000,"1,305,600",4.6,1,,,,8/6/2024,,,2026-01-11,https://www.valottery.com/scratchers/2272,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2272_teaser.jpg?rev=df50691ff3fd4352a6d3a4591c3de70b
0,5,10X The Money,2382,100000,"1,370,880",4.48,5,,,,12/8/2025,,,2026-01-11,https://www.valottery.com/scratchers/2382,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2382_teaser.jpg?rev=56c03f44d1a74314a9835d5a963eea88
0,5,10X The Money,2317,100000,"1,142,400",4.48,0,Top Prize Claimed,,,6/10/2025,,,2026-01-11,https://www.valottery.com/scratchers/2317,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2317_teaser.jpg?rev=a71b29a1c9034ecb88c2e0d377d2d14f
0,5,BONUS SPIN CROSSWORD,2273,100000,"1,224,000",3.83,4,,,,7/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2273,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2273_teaser.jpg?rev=2ff650efbf0a4b4b94095d12f05e0928
0,5,BLACK DIAMOND DAZZLER,2334,250000,"1,020,000",4.68,1,,,,3/4/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2334,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2334_teaser.jpg?rev=fe49f15e8a184c1998001e6ea058907f
0,5,Super Loteria,2199,100000,"1,632,000",4.02,1,,,,6/6/2023,,,2026-01-11,https://www.valottery.com/scratchers/2199,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2199_teaser.jpg?rev=90012f3c655540eda7a33a57d1171541
0,5,SKEE-BALL,2255,150000,"1,346,400",3.94,1,,,,5/7/2024,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2255,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2255_teaser.jpg?rev=7c90772c65204ee683b078d50487e2ca
0,5,Double It,2338,100000,"897,600",4.82,0,Top Prize Claimed,,,4/1/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2338,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2338_teaser.jpg?rev=55bc00c0e6f54f6aaf8fc5e291a16090
0,2,Mystery Multiplier,2337,20000,"612,000",4.82,0,Top Prize Claimed,,,4/1/2025,7/18/2025,1/14/2026,2026-01-11,https://www.valottery.com/scratchers/2337,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2337_teaser.jpg?rev=ada4492b00064f61a0c5125d4a335192
0,2,LUCKY SHAMROCK,2333,25000,"856,800",4.64,0,Top Prize Claimed,,,3/4/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2333,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2333_teaser.jpg?rev=58dcaf135b2248b5ac9b9940d486fdc0
0,2,WIN WIN WIN,2365,15000,"979,200",4.03,3,,,,1/6/2026,,,2026-01-11,https://www.valottery.com/scratchers/2365,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2365_teaser.jpg?rev=108d7d01d38f45619deaf34e81c1483b
