,price,gameName,gameNumber,topprize,topprizeremain,startDate,lastdatetoclaim,overallodds,gameURL,gamePhoto
65,5,LADY LUCK DOUBLER             ,1487,1000000,0,2021-07-06,2023-03-01,4.05,https://nylottery.ny.gov/scratch-off-game?game=1487,https://edit.nylottery.ny.gov/sites/default/files/2021-06/LadyLuckDoubler_1487.jpg
66,20,"$10,000 A WEEK FOR LIFE       ",1478,10000 A Week For Life,1,2021-07-06,          ,3.39,https://nylottery.ny.gov/scratch-off-game?game=1478,https://edit.nylottery.ny.gov/sites/default/files/2021-06/10KaWFL_1478_1.jpg
67,3,ONE-WORD CASHWORD             ,1481,60000,1,2021-06-01,          ,4.23,https://nylottery.ny.gov/scratch-off-game?game=1481,https://edit.nylottery.ny.gov/sites/default/files/2021-05/OneWordCashword_1481.jpg
68,20,"$5,000,000 RICHES             ",1483,5000000,1,2021-05-04,          ,3.35,https://nylottery.ny.gov/scratch-off-game?game=1483,https://edit.nylottery.ny.gov/sites/default/files/2021-04/5milRiches_1483.jpg
69,2,CASHWORD DOUBLER              ,1477,20000,3,2021-04-01,          ,5.09,https://nylottery.ny.gov/scratch-off-game?game=1477,https://edit.nylottery.ny.gov/sites/default/files/2021-03/CashwordDoubler_1477.jpg
70,1,LOOSE CHANGE                  ,1476,500,59,2021-03-22,          ,4.7,https://nylottery.ny.gov/scratch-off-game?game=1476,https://edit.nylottery.ny.gov/sites/default/files/2021-08/looseChange_1476.jpg
71,2,CASHWORD                      ,1475,10000,1,2021-03-17,          ,5.02,https://nylottery.ny.gov/scratch-off-game?game=1475,https://edit.nylottery.ny.gov/sites/default/files/2021-03/Cashword_1475.jpg
72,1,BEAT THE HOUSE                ,1446,5000,4,2021-04-06,2023-11-04,5.01,https://nylottery.ny.gov/scratch-off-game?game=1446,https://edit.nylottery.ny.gov/sites/default/files/2021-03/beatThe%20House_1446.jpg
73,5,"$1,000,000 PREMIERE           ",1467,1000000,1,2021-04-06,          ,3.92,https://nylottery.ny.gov/scratch-off-game?game=1467,https://edit.nylottery.ny.gov/sites/default/files/2021-03/milPremiere_1467.jpg
74,10,SET FOR LIFE                  ,1472,5000 a Week for Life,0,2021-03-04,2023-12-02,3.97,https://nylottery.ny.gov/scratch-off-game?game=1472,https://edit.nylottery.ny.gov/sites/default/files/2021-03/setForLife_1472.jpg
75,10,"$3,000,000 FORTUNE            ",1449,3000000,0,2021-03-02,2023-04-26,3.9,https://nylottery.ny.gov/scratch-off-game?game=1449,https://edit.nylottery.ny.gov/sites/default/files/2021-02/3milFortune_1449.jpg
76,30,200X                          ,1468,10000000,1,2021-02-02,          ,3.64,https://nylottery.ny.gov/scratch-off-game?game=1468,https://edit.nylottery.ny.gov/sites/default/files/2021-01/200X_1468.jpg
77,1,INSTANT TAKE 5                ,1455,5555,19,2021-01-13,          ,4.69,https://nylottery.ny.gov/scratch-off-game?game=1455,https://edit.nylottery.ny.gov/sites/default/files/2021-01/InstantTake5_1455.jpg
78,5,BIG BUCKS                     ,1458,1000000,1,2021-01-05,          ,4.29,https://nylottery.ny.gov/scratch-off-game?game=1458,https://edit.nylottery.ny.gov/sites/default/files/2021-01/bigBucks_1458.jpg
79,1,LUCKY 7'S                     ,1454,2700,6,2021-01-05,          ,4.67,https://nylottery.ny.gov/scratch-off-game?game=1454,https://edit.nylottery.ny.gov/sites/default/files/2021-01/lucky7s1_1454.jpg
80,2,WIN FOR LIFE                  ,1453,1000 A Week for Life,1,2020-12-02,          ,3.75,https://nylottery.ny.gov/scratch-off-game?game=1453,https://edit.nylottery.ny.gov/sites/default/files/2020-12/WFL_1453.jpg
81,30,"$10,000,000 BONUS             ",1464,10000000,1,2020-09-22,          ,3.64,https://nylottery.ny.gov/scratch-off-game?game=1464,https://edit.nylottery.ny.gov/sites/default/files/2020-09/10milBonus_1464.jpg
82,5,"$2,500 A WEEK FOR LIFE        ",1447,2500 a week for Life,1,2020-08-11,          ,4.75,https://nylottery.ny.gov/scratch-off-game?game=1447,https://edit.nylottery.ny.gov/sites/default/files/2020-08/2500_WFL_ticket.jpg
83,20,"$5,000,000 MEGA MULTIPLIER    ",1439,5000000,0,2020-06-30,2023-11-01,3.33,https://nylottery.ny.gov/scratch-off-game?game=1439,https://edit.nylottery.ny.gov/sites/default/files/2020-07/5milMegaMultiplier_ticket.jpg
84,30,"$10,000,000 BLACK TITANIUM    ",1406,10000000,2,2019-10-01,          ,3.53,https://nylottery.ny.gov/scratch-off-game?game=1406,https://edit.nylottery.ny.gov/sites/default/files/2019-12/blackTitanium_ticket.jpg
