,price,gameName,gameNumber,topprize,topprizeremain,startDate,overallodds,gameURL,gamePhoto
67,3,Loteria™,667,30000,4,12/28/2023,3.86,https://www.mdlottery.com/games/scratch-offs/#prize_details_667,https://www.mdlottery.com/wp-content/uploads/2023/12/Loteria_Simplified_Phase2a_Website_Front.jpg
68,5,$,668,50000,2,12/28/2023,3.92,https://www.mdlottery.com/games/scratch-offs/#prize_details_668,https://www.mdlottery.com/wp-content/uploads/2023/12/Dollar-Sign_FRONT_Simplified_576w_RGB.jpg
69,10,Money Drop,669,100000,5,12/28/2023,3.49,https://www.mdlottery.com/games/scratch-offs/#prize_details_669,https://www.mdlottery.com/wp-content/uploads/2023/12/Money-Drop_FRONT_Simplified_576w_RGB.jpg
70,10,Electric 8s,664,88000,5,11/24/2023,3.43,https://www.mdlottery.com/games/scratch-offs/#prize_details_664,https://www.mdlottery.com/wp-content/uploads/2023/11/Electric8s_Simplified_Website_Front.jpg
71,2,Triple 333,662,13333,3,11/24/2023,4.20,https://www.mdlottery.com/games/scratch-offs/#prize_details_662,https://www.mdlottery.com/wp-content/uploads/2023/11/Triple333_Simplified_Website_Front.jpg
72,20,"Win $100, $200 or $500",661,500,4748,10/23/2023,9.14,https://www.mdlottery.com/games/scratch-offs/#prize_details_661,https://www.mdlottery.com/wp-content/uploads/2023/10/Win100-200-500-Holiday-Blue_FRONT_Simplified_576w_RGB-1.jpg
73,30,"$100,000 Ca$h",655,100000,49,09/18/2023,2.79,https://www.mdlottery.com/games/scratch-offs/#prize_details_655,https://www.mdlottery.com/wp-content/uploads/2023/09/100K-Cash_FRONT_Simplified_576w_RGB.jpg
74,10,"$10,000 Ca$h",654,10000,39,09/18/2023,3.42,https://www.mdlottery.com/games/scratch-offs/#prize_details_654,https://www.mdlottery.com/wp-content/uploads/2023/09/10K-Cash_FRONT_Simplified_576w_RGB.jpg
75,5,Cash Boom,652,50000,3,09/18/2023,3.99,https://www.mdlottery.com/games/scratch-offs/#prize_details_652,https://www.mdlottery.com/wp-content/uploads/2023/09/Cash-Boom_FRONT_Simplified_576w_RGB.jpg
76,5,Deluxe Crossword,653,50000,2,09/18/2023,3.47,https://www.mdlottery.com/games/scratch-offs/#prize_details_653,https://www.mdlottery.com/wp-content/uploads/2023/09/Deluxe-Crossword-8thEd_FRONT_Simplified_576w_RGB.jpg
77,5,Bonus Cash Doubler,645,50000,3,07/17/2023,3.93,https://www.mdlottery.com/games/scratch-offs/#prize_details_645,https://www.mdlottery.com/wp-content/uploads/2023/06/Bonus-Cash-Doubler_FRONT_Simplified_576w_RGB.jpg
78,10,$600 Cash in Hand,646,600,537,07/17/2023,3.50,https://www.mdlottery.com/games/scratch-offs/#prize_details_646,https://www.mdlottery.com/wp-content/uploads/2023/06/600-Cash-In-Hand-2ndEd-PINK_FRONT_Simplified_576w_RGB.jpg
79,20,$1 Million Royale,647,1000000,4,07/17/2023,3.04,https://www.mdlottery.com/games/scratch-offs/#prize_details_647,https://www.mdlottery.com/wp-content/uploads/2023/07/1MillionRoyale_Website_Front.jpg
80,10,Ultimate Cash,641,100000,3,06/19/2023,3.49,https://www.mdlottery.com/games/scratch-offs/#prize_details_641,https://www.mdlottery.com/wp-content/uploads/2023/06/Ultimate-Cash_FRONT_Simplified_576w_RGB.jpg
81,50,50 Years!,625,5000000,0,02/20/2023,2.44,https://www.mdlottery.com/games/scratch-offs/#prize_details_625,https://www.mdlottery.com/wp-content/uploads/2023/02/50-Years_FRONT_Simplified_576w_RGB.jpg
82,20,"$50,000 Cash",613,50000,65,12/29/2022,3.03,https://www.mdlottery.com/games/scratch-offs/#prize_details_613,https://www.mdlottery.com/wp-content/uploads/2022/12/50K-Cash_FRONT_Simplified_576w_RGB.jpg
83,20,THE GAME OF LIFE™,609,1000000,3,10/17/2022,3.02,https://www.mdlottery.com/games/scratch-offs/#prize_details_609,https://www.mdlottery.com/wp-content/uploads/2022/10/TheGameOfLife_FRONT_Simplified_576w_RGB.jpg
84,30,Cash is King,603,2000000,1,09/19/2022,2.93,https://www.mdlottery.com/games/scratch-offs/#prize_details_603,https://www.mdlottery.com/wp-content/uploads/2022/09/Cash-is-King_FRONT_Simplified_576w_RGB.jpg
85,20,Bonus Bingo X20,499,500000,0,08/24/2020,2.96,https://www.mdlottery.com/games/scratch-offs/#prize_details_499,https://www.mdlottery.com/wp-content/uploads/2020/08/BonusBingoX20_Front.jpg
