,price,gameNumber,topprize,overallodds,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,Photo,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
10,2,869,20000.0,4.20,,,,12/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/money-multiplier-1,Money Multiplier,260930,128882,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-869-front.jpg,2,1,1095906.0,541304.4,834976.0,412422.4,547953.0,547953.0,0.0,4.2,-7.389557520384858e-07,9.16,8.963733027973172,0.02146912416284814,0.23809541403721385,0.23809523809523808,-1.7594197576631387e-07,0.10921589347206007,0.11156066304956812,0.002344769577508052,0.040494421187525706,0.01764882932948498,8.231060852200592,18.880962002054698,11.0,0.39,-0.021872528930741403,0.39448812497228913,-0.021872528930741403,0.47,0.46082463873210533,0.9999992787620673,,,,2026-04-03,122,35.666666666666664,34.333333333333336,23.0,34.666666666666664,29.0,31.333333333333332,35.0,5.0,/arkansas-statistics-for-each-scratcher-game
11,20,868,1000000.0,2.96,,,,10/28/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/instant-million,Instant Million,1055128,650025,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-868-front.jpg,3,2,3123178.88,1924074.0,2068050.88,1274049.0,1041059.6266666666,1041059.6266666666,0.0,2.96,0.0,4.91,4.895685364725799,0.0024441078636702044,0.33783783783783783,0.3378379330284729,9.519063509655368e-08,0.2037634727146669,0.20426149262065754,0.0004980199059906321,0.0429438356845588,0.027263517623817752,7.761983708917087,12.22596963402918,6.0,0.44,0.0001881894284711975,0.4378048869222286,0.0001881894284711975,0.62,0.618650834848823,1.0000004521168906,,,,2026-04-03,157,33.0,28.0,42.0,57.0,38.833333333333336,39.766666666666666,57.0,7.0,/arkansas-statistics-for-each-scratcher-game
12,5,867,20000.0,3.84,,,,10/28/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/winter-winnings,Winter Winnings,349567,111808,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-867-front.jpg,12,4,1342337.28,429342.72,992770.28,317534.72,111861.44,111861.44,0.0,3.84,-1.6769819690306185e-06,5.97,5.866626749821904,0.01733174023985042,0.26041710338145346,0.26041672098735263,-3.823941008285203e-07,0.16755174196794165,0.17045570523646447,0.0029039632685228245,0.044684300396661915,0.040312262816428475,7.459243898218521,8.267832156399672,8.0,0.45,-0.006543299497454516,0.448046079815159,-0.006543299497454516,0.33,0.33507512878309975,0.9999993094783597,,,,2026-04-03,157,30.666666666666668,22.333333333333332,45.0,26.0,30.666666666666668,30.93333333333333,34.0,6.0,/arkansas-statistics-for-each-scratcher-game
13,3,866,10000.0,3.64,,,,10/28/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/peppermint-cash-multiplier,Peppermint Cash Multiplier,274227,85048,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-866-front.jpg,13,5,998186.28,309574.72000000003,723959.28,224526.72000000003,76783.56,76783.56,0.0,3.64,-2.32577130326323e-06,7.68,7.430185645591103,0.03362448768826439,0.274725913674921,0.27472535178814367,-5.618867773282687e-07,0.13020796320104402,0.1345861392566115,0.004378176055567479,0.04022798444687122,0.016312085556121448,8.285298527557526,20.424392310778423,9.0,0.39,-0.006161145295461255,0.39284845195871315,-0.006161145295461255,0.33,0.32989116623577486,0.9999990805249139,,,,2026-04-03,157,36.0,35.666666666666664,21.0,22.333333333333332,21.666666666666668,27.333333333333332,19.0,3.0,/arkansas-statistics-for-each-scratcher-game
14,2,865,2000.0,4.12,,,,10/28/2025,05/20/2026,08/18/2026,2026-04-03,https://www.myarkansaslottery.com/games/elf,Elf,209034,86762,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-865-front.jpg,15,3,861220.0800000001,357459.44,652186.0800000001,270697.44,57414.672000000006,57414.672000000006,0.0,4.12,-1.2309088829116116e-06,14.66,13.182006030643013,0.11218082495539236,0.24271874536660148,0.24271846914841735,-2.7621818413092747e-07,0.06820922119739606,0.07586098790088479,0.00765176670348873,0.056384961467286145,0.011617694747240446,5.911339011723386,28.658141471600484,18.0,0.35,-0.07123728435717215,0.353937094883609,-0.07123728435717215,0.37,0.3582655085407135,0.9999991924840017,,,,2026-04-03,157,24.666666666666668,39.333333333333336,11.0,26.0,25.0,25.2,12.0,1.0,/arkansas-statistics-for-each-scratcher-game
15,1,864,500.0,4.56,,,,10/28/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/holiday-cash,Holiday Cash,294124,94610,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-864-front.jpg,55,15,1341205.44,431421.6,1047081.44,336811.6,24385.553454545454,24385.553454545454,0.0,4.56,-1.3907509498809752e-06,7.74,7.442290832010832,0.03957613616360699,0.21929855060370265,0.21929831755771861,-2.3304598403828258e-07,0.12925193720287145,0.13436722946902227,0.005115292266150817,0.03507618918723883,0.02719746087303235,9.502168356288674,12.253352875886383,10.0,0.36,-0.09890678403452408,0.3598688983614613,-0.09890678403452408,0.28,0.2743001616013643,0.9999994960710487,,,,2026-04-03,157,38.0,28.333333333333332,12.0,24.0,23.833333333333332,25.23333333333333,13.0,4.0,/arkansas-statistics-for-each-scratcher-game
16,10,863,200000.0,3.01,,,,9/30/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/200000-platinum-jackpot,"$200,000 Platinum Jackpot",405482,45594,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-863-front.jpg,3,1,1220500.8199999998,137237.94,815018.8199999998,91643.94,406833.60666666663,406833.60666666663,0.0,3.01,-6.849417879532366e-06,7.93,7.574958261700688,0.04741836939563484,0.33222818919096164,0.33222613682916835,-2.0523617932921567e-06,0.12603743888310004,0.13201392871773862,0.005976489834638582,0.0586176344293285,0.017422703033954934,5.685861734130786,19.11098649382143,9.0,0.48,0.012906060687451943,0.4806356886262451,0.012906060687451943,0.11,0.1065014861250019,0.9999992173683064,,,,2026-04-03,185,23.0,34.666666666666664,52.0,7.666666666666667,29.5,29.366666666666664,28.0,7.0,/arkansas-statistics-for-each-scratcher-game
17,5,862,1000.0,3.70,,,,9/30/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/1000-mayhem,"$1,000 Mayhem",426885,127270,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-862-front.jpg,1510,452,1579474.5,470899.0,1152589.5,343629.0,1046.0096026490066,1046.0096026490066,0.0,3.7,0.0,7.26,6.9709022380517345,0.04104066630220655,0.2702702702702703,0.27027035582731973,8.555704944512854e-08,0.1377981265621715,0.1434534534914788,0.005655326929307314,0.05710166953211495,0.04309329432239626,5.837273194294245,7.734233550493418,11.0,0.44,-0.006281574851115965,0.4377010781505163,-0.006281574851115965,0.29,0.2874776197073036,1.0000001344683493,,,,2026-04-03,185,23.666666666666668,21.666666666666668,41.0,35.333333333333336,44.0,33.13333333333334,39.0,8.0,/arkansas-statistics-for-each-scratcher-game
18,2,861,25000.0,4.07,,,,9/30/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/jumbo-bucks-0,Jumbo Bucks,326910,142554,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-861-front.jpg,3,3,1330523.7000000002,580194.78,1003613.7000000002,437640.78,443507.9000000001,443507.9000000001,0.0,4.07,-1.3443761076797095e-06,10.47,10.093330400084962,0.037747503320487735,0.24570057601422973,0.24570037496533317,-2.0104889655869762e-07,0.09547151470025543,0.09907532601841532,0.0036038113181598858,0.048026882593952075,0.014403228486235183,6.9402194572898,23.13329432028228,12.0,0.42,0.015445547810881862,0.420342161414975,0.015445547810881862,0.48,0.48143150722269457,0.9999993672715308,,,,2026-04-03,185,28.666666666666668,37.0,34.0,37.0,31.0,33.53333333333334,42.0,6.0,/arkansas-statistics-for-each-scratcher-game
19,1,860,5000.0,4.66,,,,9/30/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/did-i-win,Did I Win?,288359,81229,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-860-front.jpg,3,1,1343752.94,378527.14,1055393.94,297298.14,447917.64666666667,447917.64666666667,0.0,4.66,-3.6985458949174907e-07,8.46,8.02422042015502,0.05478291025137689,0.21459235404607863,0.21459242479267007,7.074659144623574e-08,0.11815009233159061,0.12462269823598401,0.0064726059043934,0.03381962636762818,0.023397458511657983,9.85501402147624,14.24202475991331,11.0,0.35,-0.12660800043778792,0.3533724146494174,-0.12660800043778792,0.25,0.24118286382517384,1.0000001292883625,,,,2026-04-03,185,38.666666666666664,32.666666666666664,10.0,31.666666666666668,32.5,29.1,27.0,9.0,/arkansas-statistics-for-each-scratcher-game
20,10,859,200000.0,2.97,,,,9/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/777-1,777,423712,90559,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-859-front.jpg,3,1,1258424.6400000001,268960.23000000004,834712.6400000001,178401.23000000004,419474.88000000006,419474.88000000006,0.0,2.97,-8.551450153305877e-07,7.84,7.30300146242949,0.07300332602227204,0.3367006246281975,0.3367005079369116,-1.1669128591185185e-07,0.12761377156454493,0.13693000133500316,0.009316229770458234,0.06308676168971368,0.028335170282283207,5.28342043516267,11.759912565618524,10.0,0.4,-0.00416777292899837,0.4009257882212968,-0.00416777292899837,0.21,0.20885751316153064,0.9999999057931783,,,,2026-04-03,213,22.333333333333332,27.333333333333332,24.0,27.666666666666668,34.166666666666664,27.1,16.5,6.0,/arkansas-statistics-for-each-scratcher-game
21,5,858,100000.0,3.62,,,,9/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/fiery-5s,Fiery 5s,438774,190648,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-858-front.jpg,2,1,1588361.8800000001,690145.76,1149587.8800000001,499497.76,794180.9400000001,794180.9400000001,0.0,3.62,-1.1012166473973578e-06,6.31,6.265971044222652,0.007452389666134258,0.2762433981264807,0.276243246969675,-1.51156805683339e-07,0.15841163813401532,0.15959218338904066,0.0011805452550253392,0.04438781103338613,0.0329601427400922,7.509273293451438,10.112289380087061,8.0,0.44,-0.0006013018677209678,0.4429185171232133,-0.0006013018677209678,0.44,0.441980351596811,0.999999579568164,,,,2026-04-03,213,31.333333333333332,25.333333333333332,44.0,37.0,32.666666666666664,34.06666666666666,45.0,9.0,/arkansas-statistics-for-each-scratcher-game
22,3,857,75000.0,3.66,,,,9/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/bingo-x20,Bingo X20,536299,235759,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-857-front.jpg,3,2,1962854.34,862877.9400000001,1426555.34,627118.9400000001,654284.78,654284.78,0.0,3.66,-1.0893777166317618e-06,9.27,9.16069986792303,0.011613422845573073,0.2732243413603561,0.27322409104294054,-2.503174155732424e-07,0.10790877494706662,0.10916196517927466,0.0012531902322080457,0.04538339945643088,0.014008654539796208,7.3446007348818885,23.788735075417993,11.0,0.41,0.009776182911427943,0.4118080174424242,0.009776182911427943,0.43,0.4278024732052361,0.9999992813170115,,,,2026-04-03,213,29.333333333333332,38.0,29.0,31.666666666666668,26.0,30.8,33.0,4.0,/arkansas-statistics-for-each-scratcher-game
23,2,856,200.0,4.28,,,,9/2/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/win-200,Win $200!,285968,133025,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-856-front.jpg,1990,870,1223943.04,569347.0,937975.04,436322.0,615.0467537688443,615.0467537688443,0.0,4.28,0.0,10.88,10.677801526717557,0.019125004221641727,0.2336448598130841,0.23364486744889262,7.635808513262177e-09,0.09189474959910213,0.09365223707313167,0.0017574874740295399,0.05195096776606965,0.014237385635036298,6.415997054436705,23.402065951091938,13.0,0.4,-0.020214720270809512,0.4013237972624779,-0.020214720270809512,0.45,0.45102342363836,1.000000028425131,,,,2026-04-03,213,26.333333333333332,37.333333333333336,25.0,46.0,33.666666666666664,33.66666666666667,43.0,7.0,/arkansas-statistics-for-each-scratcher-game
24,20,855,350000.0,2.97,,,,8/5/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/350000-jackpot,"$350,000 Jackpot",623141,263007,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-855-front.jpg,3,1,1850728.77,781130.79,1227587.77,518123.79000000004,616909.59,616909.59,0.0,2.97,-1.0113543213521634e-06,5.27,5.26135223263655,0.0014072520444119105,0.3367006772240216,0.3367004767853515,-2.004386701059957e-07,0.18979811299015528,0.1900652067726862,0.00026709378253092497,0.048028943473291084,0.03156998791986679,6.940076408545791,10.557799279879069,6.0,0.43,-0.0010746452141026622,0.42906942506368984,-0.0010746452141026622,0.42,0.4207197233448451,0.9999995652490731,,,,2026-04-03,241,28.333333333333332,26.333333333333332,35.0,35.333333333333336,28.5,30.7,32.0,3.0,/arkansas-statistics-for-each-scratcher-game
25,10,854,10000.0,3.01,,,,8/5/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/10000-winnings,"$10,000 Winnings",406398,69195,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-854-front.jpg,160,26,1223257.98,208276.94999999998,816859.98,139081.94999999998,7645.362375,7645.362375,0.0,3.01,-4.5612344523752065e-06,7.43,7.192963784009455,0.03360887654524688,0.33222742898845764,0.33222617978070024,-1.2492077574033367e-06,0.13450421556012215,0.13902475113569757,0.004520535575575413,0.06455527012236541,0.024631765609535505,5.163148728923024,13.526126943820028,9.0,0.41,-0.005160067366132388,0.40606454896387484,-0.005160067366132388,0.15,0.1524227398331106,0.9999992284179141,,,,2026-04-03,241,22.0,31.333333333333332,27.0,12.0,20.666666666666668,22.6,8.5,3.0,/arkansas-statistics-for-each-scratcher-game
26,5,853,100000.0,3.84,Top Prize Claimed,,,8/5/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/x50-high-roller,X50 High Roller,426025,55732,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-853-front.jpg,3,0,1635936.0,214010.88,1209911.0,158278.88,545312.0,545312.0,0.0,3.84,-4.111940477002918e-06,6.56,5.987439061882384,0.09591173609727521,0.2604177374889024,0.2604166666666667,-1.0708222357158625e-06,0.152399420587823,0.16701631359661992,0.014616893008796927,0.041860638213673355,0.032825859032108134,7.961792462812292,10.151435270545264,8.0,0.37,-0.03931628778208958,0.36797813186299705,-0.03931628778208958,0.12,0.11670025800636077,0.9999993811210992,,,,2026-04-03,241,35.0,25.666666666666668,13.0,12.333333333333334,19.5,21.1,7.0,2.0,/arkansas-statistics-for-each-scratcher-game
27,2,852,20000.0,4.25,,,,8/5/2025,To Be Determined,To Be Determined,2026-04-03,https://www.myarkansaslottery.com/games/x20-high-roller,X20 High Roller,311467,183133,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-852-front.jpg,3,2,1323734.75,778315.25,1012267.75,595182.25,441244.9166666667,441244.9166666667,0.0,4.25,-3.212066062019403e-07,10.61,10.48834482212186,0.011264629798581468,0.23529419322510808,0.23529425095978498,5.773467690040057e-08,0.094281878159871,0.0953439286140569,0.0010620504541858922,0.042921291876708186,0.012471586086340844,7.7658239916210725,26.717689784553652,12.0,0.41,-0.0051928215912225425,0.4141889851795224,-0.0051928215912225425,0.6,0.595672590935757,1.0000003501471222,,,,2026-04-03,241,33.333333333333336,38.666666666666664,31.0,54.333333333333336,33.5,38.16666666666667,56.0,10.0,/arkansas-statistics-for-each-scratcher-game
