,gameNumber,gameURL,gamePhoto
29,1514,https:/www.oregonlottery.org/scratch-its/ace-of-spades/,https://www.oregonlottery.org/wp-content/uploads/2022/10/1514_AceOfSpades_GameTile_1200x1200-300x300.jpg
30,1498,https:/www.oregonlottery.org/scratch-its/bronze/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1498_Bronze_GameTile_1200x1200-300x300.jpg
31,1482,https:/www.oregonlottery.org/scratch-its/50-or-100/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1482_50_or_100_GameTile_1200x1200-300x300.jpg
32,1492,https:/www.oregonlottery.org/scratch-its/win-win-win/,https://www.oregonlottery.org/wp-content/uploads/2022/05/1492_WinWinWin_GameTile_1200x1200-300x300.jpg
33,1502,https:/www.oregonlottery.org/scratch-its/holiday-treasures/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1502_HolidayTreasures_1200x1200-300x300.jpg
34,1491,https:/www.oregonlottery.org/scratch-its/crossword-encounters/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1491_CrosswordEncounters_GameTile_1200x1200-300x300.jpg
35,1503,https:/www.oregonlottery.org/scratch-its/peek-season/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1503_PeekSeason_1200x1200-300x300.jpg
36,1505,https:/www.oregonlottery.org/scratch-its/whats-under-the-tree/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1505_WhatsUnderTheTree_1200x1200-300x300.jpg
37,1506,https:/www.oregonlottery.org/scratch-its/winter-bucks/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1506_WinterBucks_1200x1200-300x300.jpg
38,1504,https:/www.oregonlottery.org/scratch-its/stocking-stuffer/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1504_StockingStuffer_1200x1200-300x300.jpg
39,1495,https:/www.oregonlottery.org/scratch-its/lets-celebrate/,https://www.oregonlottery.org/wp-content/uploads/2022/06/1495_LetsCelebrate_GameTile_1200x1200-300x300.jpg
40,1467,https:/www.oregonlottery.org/scratch-its/leap-frog-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/03/1467_LeapFrogCrossword_GameTile_1200x1200-300x300.jpg
41,1439,https:/www.oregonlottery.org/scratch-its/lucky-bug/,https://www.oregonlottery.org/wp-content/uploads/2021/12/1439_LuckyBug_1200x1200-300x300.jpg
42,1469,https:/www.oregonlottery.org/scratch-its/bingo-bongo/,https://www.oregonlottery.org/wp-content/uploads/2022/02/1469-_BingoBongo_Tile_1200x1200-300x300.jpg
43,1478,https:/www.oregonlottery.org/scratch-its/emeralds-pearls/,https://www.oregonlottery.org/wp-content/uploads/2022/02/1478_EmeraldsAndPearls_GameTile_1200x1200-300x300.jpg
44,1480,https:/www.oregonlottery.org/scratch-its/lighthouse-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/08/1480_Lighthouse-Crossword_Tile_1200x1200-300x300.jpg
45,1496,https:/www.oregonlottery.org/scratch-its/dragonfly-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1496_DragonflyCrossword_Tile_1200x1200-300x300.jpg
46,1499,https:/www.oregonlottery.org/scratch-its/day-of-the-dead/,https://www.oregonlottery.org/wp-content/uploads/2022/07/1499_LaOfrenda_1200x1200-300x300.jpg
47,1485,https:/www.oregonlottery.org/scratch-its/aces-high/,https://www.oregonlottery.org/wp-content/uploads/2022/03/1485_AcesHigh_GameTile_1200x1200-300x300.jpg
48,1471,https:/www.oregonlottery.org/scratch-its/double-it/,https://www.oregonlottery.org/wp-content/uploads/2022/02/1471_DoubleIt_Tile_1200x1200-300x300.jpg
49,1479,https:/www.oregonlottery.org/scratch-its/hit-it-big/,https://www.oregonlottery.org/wp-content/uploads/2022/02/1479_HitItBig_GameTile_1200x1200-300x300.jpg
50,1488,https:/www.oregonlottery.org/scratch-its/platinum-payout/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1488_PlatinumPayout_GameTile_1200x1200-300x300.jpg
51,1484,https:/www.oregonlottery.org/scratch-its/wild-west-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1484_WildWestCrossword_Tile_1200x1200-300x300.jpg
52,1483,https:/www.oregonlottery.org/scratch-its/colossal-cash/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1483_ColossalCash_GameTile_1200x1200-1-300x300.jpg
53,1442,https:/www.oregonlottery.org/scratch-its/mustang-bingo/,https://www.oregonlottery.org/wp-content/uploads/2021/09/1442_MustangBingo_GameTile_1200x1200-300x300.jpg
54,1487,https:/www.oregonlottery.org/scratch-its/20x/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1487_20x_Tile_1200x1200-300x300.jpg
55,1489,https:/www.oregonlottery.org/scratch-its/crocodile-cash/,https://www.oregonlottery.org/wp-content/uploads/2022/04/1489_CrocodileCash_GameTile_1200x1200-2-300x300.jpg
56,1475,https:/www.oregonlottery.org/scratch-its/cash-cow/,https://www.oregonlottery.org/wp-content/uploads/2022/05/1475_CashCow_GameTile_1200x1200-300x300.jpg
