,gameName,gameNumber,price,startDate,lastdatetoclaim,topprize,topprizestarting,topprizeremain,overallodds,secondChance,Payout percentage,gameURL
50,"$3,000,000 Golden Riches",245,$50,"May 16, 2022","Nov. 3, 2023","$3,000,000",2,0,1 in 2.70,1,80.0%,https://www.coloradolottery.com/en/games/scratch/game/3000000-golden-riches-2728/
51,Holiday Wishes,253,$1,"Oct. 17, 2022","Aug. 25, 2023","$5,000",3,2,1 in 4.20,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/holiday-wishes-2745/
52,MONOPOLY™ 100X,267,$10,"Jan. 9, 2023",Not Set,"$250,000",2,1,1 in 3.32,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-100x-2764/
53,Junior Jumbo Bucks,249,$1,"Aug. 22, 2022",Not Set,"$10,000",4,1,1 in 4.38,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/junior-jumbo-bucks-2737/
54,Jumbo Bucks,250,$2,"Aug. 22, 2022","Nov. 3, 2023","$20,000",4,0,1 in 4.21,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/jumbo-bucks-2738/
55,It's Gold Outside,254,$2,"Oct. 17, 2022","July 28, 2023","$10,000",4,0,1 in 4.05,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/its-gold-outside-2746/
56,MONOPOLY™ 200X,268,$20,"Jan. 9, 2023",Not Set,"$1,000,000",2,1,1 in 3.02,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-200x-2765/
57,"$20,000 Gold Rush",282,$2,"May 15, 2023",Not Set,"$20,000",3,3,1 in 4.16,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/20000-gold-rush-2777/
58,Giant Jumbo Bucks,251,$5,"Aug. 22, 2022","Aug. 25, 2023","$100,000",2,0,1 in 3.86,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/giant-jumbo-bucks-2739/
59,Holiday Classic Cash,255,$3,"Oct. 17, 2022","Aug. 25, 2023","$35,000",2,1,1 in 3.13,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/holiday-classic-cash-2747/
60,MONOPOLY™ 500X,271,$50,"Jan. 9, 2023",Not Set,"$3,000,000",2,2,1 in 2.66,1,80.0%,https://www.coloradolottery.com/en/games/scratch/game/monopolytm-500x-2766/
61,"$100,000 Gold Rush",283,$5,"May 15, 2023",Not Set,"$100,000",3,2,1 in 3.45,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/100000-gold-rush-2778/
62,Jumbo Jumbo Bucks,252,$10,"Aug. 22, 2022",Not Set,"$250,000",2,1,1 in 3.36,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/jumbo-jumbo-bucks-2740/
63,Holiday Wins,256,$5,"Oct. 17, 2022","Aug. 25, 2023","$100,000",2,1,1 in 3.71,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/holiday-wins-2748/
