,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
1,2136,MONOPOLY FORTUNES,10000,6.0,1.0,5.808050887818659e-07,0.16666666666666666,0.010135911125789243,0.0058051468623747495,2025-07-23
2,2136,MONOPOLY FORTUNES,1000,125.0,38.0,2.20705933737109e-05,0.304,0.021021409809405322,0.021960240406842347,2025-07-23
3,2136,MONOPOLY FORTUNES,500,1985.0,567.0,0.00032931648533931796,0.2856423173803526,0.1660712501988055,0.1630116602429624,2025-07-23
4,2136,MONOPOLY FORTUNES,100,43136.0,12026.0,0.006984761997690719,0.27879265578635015,0.6926155231047899,0.6635523897806183,2025-07-23
5,2136,MONOPOLY FORTUNES,50,21992.0,6135.0,0.003563239219676747,0.2789650782102583,0.16726535078415986,0.16034576488545363,2025-07-23
6,2136,MONOPOLY FORTUNES,20,111032.0,31498.0,0.018294198686451213,0.2836839829958931,0.2814933677135146,0.2744129802967682,2025-07-23
7,2136,MONOPOLY FORTUNES,15,222053.0,63660.0,0.03697405195185358,0.28668831315046406,0.3753058984850557,0.3697405195185358,2025-07-23
8,2136,MONOPOLY FORTUNES,10,443793.0,128486.0,0.07462532263722682,0.28951786080447417,0.37504138788122277,0.3731266131861341,2025-07-23
9,2136,MONOPOLY FORTUNES,5,591940.0,175488.0,0.10192432342015208,0.296462479305335,0.0,0.0,2025-07-23
10,2136,MONOPOLY FORTUNES,0,4480522.8,1303848.0,0.7572815533980582,0.2910035409260723,-3.7864082789621785,-3.7864077669902914,2025-07-23
11,2136,MONOPOLY FORTUNES,Total,5916587.8,1721748.0,1.0,0.2910035409260723,,,2025-07-23
0,2140,Hit It Big!,625000,3.0,1.0,5.178824821071603e-07,0.3333333333333333,0.385138786725625,0.3236713724921541,2025-07-23
1,2140,Hit It Big!,2000,100.0,42.0,2.175106424850073e-05,0.42,0.04087671725862247,0.043284617854516455,2025-07-23
2,2140,Hit It Big!,500,1700.0,683.0,0.00035371373527919047,0.40176470588235297,0.1711070626956408,0.17331973028680334,2025-07-23
3,2140,Hit It Big!,250,6898.0,2670.0,0.001382746227226118,0.3870687155697304,0.34006142188942046,0.3318590945342683,2025-07-23
4,2140,Hit It Big!,100,64845.0,25513.0,0.013212735765999978,0.3934459094764438,1.1987867625989128,1.1891462189399982,2025-07-23
5,2140,Hit It Big!,50,150079.0,58953.0,0.030530725967663416,0.39281311842429656,1.2331129345641814,1.2212290387065368,2025-07-23
6,2140,Hit It Big!,25,243235.0,96050.0,0.049742612406392744,0.3948856044565955,0.7494458534473143,0.7461391860958911,2025-07-23
7,2140,Hit It Big!,20,243481.0,96151.0,0.049794918537085564,0.39490145021582795,0.500135879138023,0.49794918537085564,2025-07-23
8,2140,Hit It Big!,10,547617.0,218888.0,0.11335826074347209,0.39971001630701747,0.0,0.0,2025-07-23
9,2140,Hit It Big!,0,3610339.46,1431989.37,0.7416022092866688,0.3966356587421838,-7.416021372566217,-7.416022092866688,2025-07-23
10,2140,Hit It Big!,Total,4868297.46,1930940.37,1.0000001916165184,0.39663565874218376,,,2025-07-23
