,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
41,20.0,"$1,000,000 Gold",1804,1000000.0,1.0,3.0,1.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1804/,https://ctlottery.org/Content/images/Scratch/1804.jpg
42,30.0,"$500,000 CASHWORD 2nd EDITION",1800,500000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1800/,https://ctlottery.org/Content/images/Scratch/1800.jpg
43,10.0,"$100,000 CA$HWORD",1797,100000.0,1.0,21.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1797/,https://ctlottery.org/Content/images/Scratch/1797.jpg
44,20.0,"$2,000,000 Jackpot",1796,2000000.0,1.0,3.0,1.0,,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1796/,https://ctlottery.org/Content/images/Scratch/1796.jpg
45,2.0,Pharaoh's Gold,1794,10000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1794/,https://ctlottery.org/Content/images/Scratch/1794.jpg
46,50.0,"$4,000,000 Fortune",1790,4000000.0,1.0,3.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1790/,https://ctlottery.org/Content/images/Scratch/1790.jpg
47,5.0,Money Bags,1788,50000.0,1.0,4.0,0.0,Top Prize Claimed,,Yes,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1788/,https://ctlottery.org/Content/images/Scratch/1788.jpg
48,3.0,"$30,000 Cashword",1787,30000.0,1.0,21.0,4.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1787/,https://ctlottery.org/Content/images/Scratch/1787.jpg
49,20.0,"$250,000 CA$HWORD",1780,250000.0,1.0,4.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1780/,https://ctlottery.org/Content/images/Scratch/1780.jpg
50,20.0,Cash Royale,1779,200000.0,1.0,4.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1779/,https://ctlottery.org/Content/images/Scratch/1779.jpg
51,30.0,Millionaire Maker,1774,1000000.0,1.0,3.0,2.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1774/,https://ctlottery.org/Content/images/Scratch/1774.jpg
52,3.0,Pay Raise,1770,25000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1770/,https://ctlottery.org/Content/images/Scratch/1770.jpg
53,3.0,3X The Cash 12th Edition,1768,30000.0,1.0,10.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1768/,https://ctlottery.org/Content/images/Scratch/1768.jpg
54,5.0,5X The Money 18th Edition,1767,50000.0,1.0,8.0,2.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1767/,https://ctlottery.org/Content/images/Scratch/1767.jpg
55,5.0,"$50,000 Cashword",1765,50000.0,1.0,20.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1765/,https://ctlottery.org/Content/images/Scratch/1765.jpg
56,5.0,Blackjack Tripler,1763,50000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1763/,https://ctlottery.org/Content/images/Scratch/1763.jpg
57,20.0,"$2,000,000 MEGA MULTIPLIER",1739,2000000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1739/,https://ctlottery.org/Content/images/Scratch/1739.jpg
58,10.0,10X™ Cash 17th Edition,1738,10000.0,1.0,225.0,3.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1738/,https://ctlottery.org/Content/images/Scratch/1738.jpg
59,2.0,Bonus Bingo Multiplier,1734,10000.0,1.0,6.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1734/,https://ctlottery.org/Content/images/Scratch/1734.jpg
60,2.0,Cash Doubler,1730,10000.0,1.0,4.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1730/,https://ctlottery.org/Content/images/Scratch/1730.jpg
61,2.0,"$20,000 A YEAR FOR LIFE 2ND ED.",1725,20000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1725/,https://ctlottery.org/Content/images/Scratch/1725.jpg
62,20.0,20X Cash 9th Edition,1718,20000.0,1.0,147.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1718/,https://ctlottery.org/Content/images/Scratch/1718.jpg
63,2.0,Mega Money 28th Edition,1717,20000.0,1.0,4.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1717/,https://ctlottery.org/Content/images/Scratch/1717.jpg
64,1.0,Aces High,1715,1000.0,1.0,20.0,0.0,Top Prize Claimed,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1715/,https://ctlottery.org/Content/images/Scratch/1715.jpg
65,30.0,"$1,000,000 Titanium",1711,1000000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1711/,https://ctlottery.org/Content/images/Scratch/1711.jpg
66,30.0,"$1,000,000 Extreme Cash",1699,1000000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1699/,https://ctlottery.org/Content/images/Scratch/1699.jpg
67,30.0,DIAMONDS & GOLD,1677,1000000.0,1.0,3.0,1.0,,,No,,,,2026-04-09,https://www.ctlottery.org/ScratchGames/1677/,https://ctlottery.org/Content/images/Scratch/1677.jpg
