price,gameName,gameNumber,topprize,startDate,topprizeodds,Current Odds of Top Prize,Current Odds of Any Prize,Odds of Profit Prize,Expected Value of Any Prize (as % of cost),Overall Rank,Rank by Cost,Photo,Stats Page,gameURL
20.0,200X CASH BLITZ,488,2000000,2025-03-31,1632954.4000000001,1632954.4000000001,3.08,5.481859514206907,0.44306874652007855,22.0,7.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=488
3.0,CASH BOX BINGO,497,55558,2025-03-03,942253.0133333333,942253.0133333333,3.9200000000000004,6.494794515574154,0.39140085744300723,69.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=497
5.0,MONOPOLY DOUBLER,492,100000,2025-02-24,831678.4400000001,831678.4400000001,4.04,8.253332115727865,0.4287117688434779,30.0,7.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=492
1.0,POWER 10X,507,5000,2025-02-24,1160555.55,1160555.55,4.62,10.946195413758725,0.3839838212151842,72.0,10.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=507
10.0,777 JACKPOT,505,777777,2025-02-24,2278130.68,2278130.68,3.22,5.747120578066597,0.4521830839093665,21.0,8.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=505
5.0,TRIPLE CASH CROSSWORD,504,100000,2025-02-04,838476.4500000001,838476.4500000001,3.78,8.19315934454019,0.2996993502085152,80.0,24.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=504
5.0,RUBY RED 7S,500,77777,2025-01-27,826494.84,826494.84,4.05,8.390665983862506,0.4055569325077575,62.0,21.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=500
2.0,DOUBLE MATCH,501,20000,2025-01-27,892106.88,892106.88,4.48,10.405910900081068,0.3893593495727709,70.0,12.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=501
20.0,DIAMONDS & GOLD,502,2000000,2024-12-30,1635808.8,1635808.8,3.04,5.362889796259069,0.45419633907429346,18.0,6.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=502
10.0,"$1,000,000* CASH CRAZE",493,1000000,2024-12-30,2249787.99,2249787.99,3.18,5.570447641212813,0.45365609869144585,19.0,7.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=493
1.0,"$5,000 CASH CRAZE",498,5000,2024-12-30,1109195.3,1109195.3,4.7,10.555587707955798,0.4140029785703955,54.0,4.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=498
3.0,"$50,000 CASH QUEST",499,50000,2024-12-30,891752.26,891752.26,3.8200000000000003,6.780770077268048,0.32227049920944023,78.0,5.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=499
5.0,"$100,000 CASH CRAZE",495,100000,2024-12-30,1101305.01,1101305.01,4.04,7.890125873521162,0.4135130192876936,55.0,19.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=495
2.0,"$25,000 CASH CRAZE",496,25000,2024-12-30,923377.4550000001,923377.4550000001,4.29,8.970661906712705,0.41973144869870316,41.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=496
5.0,BIG CASH RICHES,490,100000,2024-11-25,844887.63,844887.63,3.99,7.865674133392185,0.4218115744275674,35.0,9.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=490
2.0,$100 FRENZY,491,30000,2024-11-25,1106166.5040000002,1106166.5040000002,4.44,9.511700638947643,0.41548437081934875,49.0,5.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=491
30.0,$3 MILLION* SUPREME,494,3000000,2024-10-22,1510494.9333333333,1510494.9333333333,3.04,4.374920110192837,0.452346879703916,20.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=494
5.0,ELECTRIC CASH,487,100000,2024-09-30,981304.6880000001,981304.6880000001,4.04,7.81362957769713,0.42076837208906265,38.0,11.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=487
3.0,CROSSWORD PLUS,477,50000,2024-09-11,790230.008,790230.008,3.8599999999999994,7.627486022271438,0.3091163719758089,79.0,6.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=477
5.0,SMOKIN HOT CASH,489,100000,2024-09-03,969389.0859999999,969389.0859999999,3.83,7.065193014154266,0.4162662291212132,47.0,15.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=489
