prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameName,gameNumber,price,dateexported
1000.0,48.0,48.0,Bonus Ball Bingo,1740,3,2026-01-01
300.0,729.0,729.0,Bonus Ball Bingo,1740,3,2026-01-01
150.0,1421.0,1421.0,Bonus Ball Bingo,1740,3,2026-01-01
100.0,7377.0,7377.0,Bonus Ball Bingo,1740,3,2026-01-01
200000.0,5.0,5.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
10000.0,17.0,17.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
1000.0,222.0,222.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
500.0,1829.0,1829.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
400.0,8338.0,8338.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
100.0,13027.0,13027.0,MONOPOLY SECRET VAULT,1739,5,2026-01-01
1000000.0,3.0,3.0,Jackpot,1738,20,2026-01-01
50000.0,11.0,11.0,Jackpot,1738,20,2026-01-01
5000.0,30.0,30.0,Jackpot,1738,20,2026-01-01
1000.0,9236.0,9236.0,Jackpot,1738,20,2026-01-01
500.0,8809.0,8809.0,Jackpot,1738,20,2026-01-01
250.0,4846.0,4846.0,Jackpot,1738,20,2026-01-01
9000.0,1.0,1.0,Neon 9s,1737,2,2026-01-01
900.0,7.0,7.0,Neon 9s,1737,2,2026-01-01
300.0,74.0,74.0,Neon 9s,1737,2,2026-01-01
90.0,3088.0,3088.0,Neon 9s,1737,2,2026-01-01
50.0,1150.0,1150.0,Neon 9s,1737,2,2026-01-01
30.0,3455.0,3455.0,Neon 9s,1737,2,2026-01-01
155000.0,3.0,3.0,High 5,1736,5,2026-01-01
5000.0,11.0,11.0,High 5,1736,5,2026-01-01
1500.0,14.0,14.0,High 5,1736,5,2026-01-01
500.0,2869.0,2869.0,High 5,1736,5,2026-01-01
250.0,1130.0,1130.0,High 5,1736,5,2026-01-01
100.0,6125.0,6125.0,High 5,1736,5,2026-01-01
600000.0,2.0,2.0,Six Figures,1735,10,2026-01-01
6000.0,4.0,4.0,Six Figures,1735,10,2026-01-01
1000.0,268.0,268.0,Six Figures,1735,10,2026-01-01
600.0,6504.0,6504.0,Six Figures,1735,10,2026-01-01
300.0,1672.0,1672.0,Six Figures,1735,10,2026-01-01
200.0,6254.0,6254.0,Six Figures,1735,10,2026-01-01
3000000.0,2.0,2.0,3s a Charm,1734,30,2026-01-01
300000.0,5.0,5.0,3s a Charm,1734,30,2026-01-01
30000.0,9.0,9.0,3s a Charm,1734,30,2026-01-01
3000.0,347.0,347.0,3s a Charm,1734,30,2026-01-01
1500.0,901.0,901.0,3s a Charm,1734,30,2026-01-01
900.0,4969.0,4969.0,3s a Charm,1734,30,2026-01-01
2000.0,0.0,0.0,20X the Cash,1733,1,2026-01-01
400.0,2.0,2.0,20X the Cash,1733,1,2026-01-01
200.0,55.0,55.0,20X the Cash,1733,1,2026-01-01
100.0,330.0,330.0,20X the Cash,1733,1,2026-01-01
40.0,3652.0,3652.0,20X the Cash,1733,1,2026-01-01
20.0,11345.0,11345.0,20X the Cash,1733,1,2026-01-01
20000.0,1.0,1.0,50X the Cash,1732,2,2026-01-01
1000.0,5.0,5.0,50X the Cash,1732,2,2026-01-01
500.0,34.0,34.0,50X the Cash,1732,2,2026-01-01
200.0,42.0,42.0,50X the Cash,1732,2,2026-01-01
100.0,2541.0,2541.0,50X the Cash,1732,2,2026-01-01
50.0,5001.0,5001.0,50X the Cash,1732,2,2026-01-01
200000.0,3.0,3.0,Blingo,1731,5,2026-01-01
10000.0,5.0,5.0,Blingo,1731,5,2026-01-01
5000.0,9.0,9.0,Blingo,1731,5,2026-01-01
1000.0,12.0,12.0,Blingo,1731,5,2026-01-01
500.0,313.0,313.0,Blingo,1731,5,2026-01-01
200.0,790.0,790.0,Blingo,1731,5,2026-01-01
100000.0,3.0,3.0,100X the Cash,1730,5,2026-01-01
10000.0,4.0,4.0,100X the Cash,1730,5,2026-01-01
1000.0,8.0,8.0,100X the Cash,1730,5,2026-01-01
500.0,1755.0,1755.0,100X the Cash,1730,5,2026-01-01
100.0,9279.0,9279.0,100X the Cash,1730,5,2026-01-01
50.0,13662.0,13662.0,100X the Cash,1730,5,2026-01-01
