,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
59,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
60,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
61,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
62,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
63,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
64,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
65,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
66,329.0,"$10,000 Super Bonus➞",$1,10000,4.56,4,4,,eXTRA Chances,2nd Chance,"June 24, 2024",,"June 5, 2026",2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/10000-super-bonus-2833/,
67,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
68,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
