Description,prizeamount,TierLevel,Odds,PrizesWon,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,dateexported
100.00,100.0,1,0.016692719655111432,11401,343,11744,1573,Sky High Crossword,2026-04-22
150.00,150.0,1,0.006926400121301413,4752,121,4873,1573,Sky High Crossword,2026-04-22
200.00,200.0,1,0.0055718200746923685,3817,103,3920,1573,Sky High Crossword,2026-04-22
500.00,500.0,1,0.0013872700510546565,949,27,976,1573,Sky High Crossword,2026-04-22
2000.00,2000.0,1,0.0001122899993788451,77,2,79,1573,Sky High Crossword,2026-04-22
10000.00,10000.0,1,5.689999852620531e-06,3,1,4,1573,Sky High Crossword,2026-04-22
175000.00,175000.0,1,4.259999968780903e-06,3,0,3,1573,Sky High Crossword,2026-04-22
50.00,50.0,1,0.07791739702224731,24727,819,25546,1574,$50 or $100 Sparkler,2026-04-22
100.00,100.0,1,0.033184900879859924,10535,345,10880,1574,$50 or $100 Sparkler,2026-04-22
3.00,3.0,1,0.10496403276920319,110410,12167,122577,1575,Karaoke Crossword,2026-04-22
5.00,5.0,1,0.07001370191574097,77038,4724,81762,1575,Karaoke Crossword,2026-04-22
6.00,6.0,1,0.025103610008955002,27048,2268,29316,1575,Karaoke Crossword,2026-04-22
8.00,8.0,1,0.03500856086611748,39048,1835,40883,1575,Karaoke Crossword,2026-04-22
10.00,10.0,1,0.014963170047849417,16757,717,17474,1575,Karaoke Crossword,2026-04-22
15.00,15.0,1,0.010035109706223011,11316,403,11719,1575,Karaoke Crossword,2026-04-22
20.00,20.0,1,0.00497345020994544,5595,213,5808,1575,Karaoke Crossword,2026-04-22
25.00,25.0,1,0.004991440102458,5655,174,5829,1575,Karaoke Crossword,2026-04-22
30.00,30.0,1,0.0033455999800935388,3794,113,3907,1575,Karaoke Crossword,2026-04-22
50.00,50.0,1,0.0016107199771795422,1816,65,1881,1575,Karaoke Crossword,2026-04-22
75.00,75.0,1,0.000795510015450418,917,12,929,1575,Karaoke Crossword,2026-04-22
100.00,100.0,1,0.0003005700054927729,340,11,351,1575,Karaoke Crossword,2026-04-22
1000.00,1000.0,1,3.4300001061637886e-06,4,0,4,1575,Karaoke Crossword,2026-04-22
25000.00,25000.0,1,2.570000106061343e-06,3,0,3,1575,Karaoke Crossword,2026-04-22
20.00,20.0,1,0.1874973028898239,73248,65755,139003,1576,Phoenix Crossword,2026-04-22
30.00,30.0,1,0.11247031763195992,44791,38590,83381,1576,Phoenix Crossword,2026-04-22
50.00,50.0,1,0.022520769853144884,9060,7636,16696,1576,Phoenix Crossword,2026-04-22
60.00,60.0,1,0.006950740236788988,2793,2360,5153,1576,Phoenix Crossword,2026-04-22
75.00,75.0,1,0.002790820086374879,1109,960,2069,1576,Phoenix Crossword,2026-04-22
80.00,80.0,1,0.0022175500635057688,891,753,1644,1576,Phoenix Crossword,2026-04-22
100.00,100.0,1,0.016689599957317114,6757,5616,12373,1576,Phoenix Crossword,2026-04-22
150.00,150.0,1,0.006923760171048343,2792,2341,5133,1576,Phoenix Crossword,2026-04-22
200.00,200.0,1,0.005520940059795976,2224,1869,4093,1576,Phoenix Crossword,2026-04-22
500.00,500.0,1,0.0014014800544828176,549,490,1039,1576,Phoenix Crossword,2026-04-22
2000.00,2000.0,1,0.00011061000259360299,40,42,82,1576,Phoenix Crossword,2026-04-22
10000.00,10000.0,1,5.4000001910026185e-06,2,2,4,1576,Phoenix Crossword,2026-04-22
175000.00,175000.0,1,4.0499999158782884e-06,2,1,3,1576,Phoenix Crossword,2026-04-22
5.00,5.0,1,0.11001261323690414,110849,11276,122125,1577,Crossword Adventure,2026-04-22
10.00,10.0,1,0.09496892057359219,98549,6876,105425,1577,Crossword Adventure,2026-04-22
15.00,15.0,1,0.030050449538975954,31363,1996,33359,1577,Crossword Adventure,2026-04-22
20.00,20.0,1,0.024986939504742622,26508,1230,27738,1577,Crossword Adventure,2026-04-22
25.00,25.0,1,0.010012609884142876,10472,643,11115,1577,Crossword Adventure,2026-04-22
30.00,30.0,1,0.010633280035108328,11357,447,11804,1577,Crossword Adventure,2026-04-22
45.00,45.0,1,0.0016493999864906073,1774,57,1831,1577,Crossword Adventure,2026-04-22
100.00,100.0,1,0.000878310005646199,955,20,975,1577,Crossword Adventure,2026-04-22
200.00,200.0,1,0.00024141999892890453,261,7,268,1577,Crossword Adventure,2026-04-22
300.00,300.0,1,9.549000242259353e-05,105,1,106,1577,Crossword Adventure,2026-04-22
1000.00,1000.0,1,7.210000148916151e-06,7,1,8,1577,Crossword Adventure,2026-04-22
50000.00,50000.0,1,1.7999999499807018e-06,2,0,2,1577,Crossword Adventure,2026-04-22
5.00,5.0,1,0.14001475274562836,96850,7552,104402,1578,Seven,2026-04-22
7.00,7.0,1,0.03999999910593033,27927,1899,29826,1578,Seven,2026-04-22
10.00,10.0,1,0.059947697445750237,42301,2399,44700,1578,Seven,2026-04-22
20.00,20.0,1,0.030018110759556293,21497,886,22383,1578,Seven,2026-04-22
40.00,40.0,1,0.0027640299522317946,2001,60,2061,1578,Seven,2026-04-22
70.00,70.0,1,0.0026808900001924485,1925,74,1999,1578,Seven,2026-04-22
140.00,140.0,1,0.0020894500194117427,1514,44,1558,1578,Seven,2026-04-22
280.00,280.0,1,0.0011251900141360238,814,25,839,1578,Seven,2026-04-22
777.00,777.0,1,3.4860001051129075e-05,25,1,26,1578,Seven,2026-04-22
77777.00,77777.0,1,2.680000079635647e-06,2,0,2,1578,Seven,2026-04-22
10.00,10.0,1,0.15016989409923553,47304,2192,49496,1579,Mystery Multiplier,2026-04-22
15.00,15.0,1,0.05007888004183769,15848,658,16506,1579,Mystery Multiplier,2026-04-22
20.00,20.0,1,0.012412009760737419,3933,158,4091,1579,Mystery Multiplier,2026-04-22
25.00,25.0,1,0.03741808049380779,11976,357,12333,1579,Mystery Multiplier,2026-04-22
30.00,30.0,1,0.012754850089550018,4049,155,4204,1579,Mystery Multiplier,2026-04-22
50.00,50.0,1,0.016070979996584356,5156,141,5297,1579,Mystery Multiplier,2026-04-22
75.00,75.0,1,0.006046709953807294,1945,48,1993,1579,Mystery Multiplier,2026-04-22
100.00,100.0,1,0.0021268200071062893,679,22,701,1579,Mystery Multiplier,2026-04-22
150.00,150.0,1,0.0015928299981169403,516,9,525,1579,Mystery Multiplier,2026-04-22
250.00,250.0,1,0.00279127003159374,901,19,920,1579,Mystery Multiplier,2026-04-22
500.00,500.0,1,0.00016383999718527775,53,1,54,1579,Mystery Multiplier,2026-04-22
1000.00,1000.0,1,1.820000011321099e-05,6,0,6,1579,Mystery Multiplier,2026-04-22
100000.00,100000.0,1,6.069999926694436e-06,2,0,2,1579,Mystery Multiplier,2026-04-22
10.00,10.0,1,0.15008272230625153,44473,4514,48987,1580,Cash Game,2026-04-22
15.00,15.0,1,0.05009191110730171,14965,1385,16350,1580,Cash Game,2026-04-22
20.00,20.0,1,0.012469359673559666,3748,322,4070,1580,Cash Game,2026-04-22
25.00,25.0,1,0.03744790982455015,11233,990,12223,1580,Cash Game,2026-04-22
30.00,30.0,1,0.012711399933323264,3855,294,4149,1580,Cash Game,2026-04-22
50.00,50.0,1,0.01631740015000105,5066,260,5326,1580,Cash Game,2026-04-22
75.00,75.0,1,0.006087629939429462,1892,95,1987,1580,Cash Game,2026-04-22
100.00,100.0,1,0.002576599974418059,791,50,841,1580,Cash Game,2026-04-22
150.00,150.0,1,0.0015808799653314054,489,27,516,1580,Cash Game,2026-04-22
250.00,250.0,1,0.002824740018695593,882,40,922,1580,Cash Game,2026-04-22
500.00,500.0,1,7.965999793668743e-05,25,1,26,1580,Cash Game,2026-04-22
100000.00,100000.0,1,6.130000201665098e-06,2,0,2,1580,Cash Game,2026-04-22
