gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,gameURL,gamePhoto,dateexported,topprizeodds
1050,"$25, $50 or $250",5.0,2000000.0,8.29,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/25-50-250-2,,2026-01-02,0
1030,Joker's Wild,5.0,2000000.0,4.58,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/joker-s-wild,,2026-01-02,0
1038,Bingo Times 25,5.0,2000000.0,3.52,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/bingo-times-251038,,2026-01-02,0
1022,3 Stooges Pie Payout,5.0,2000000.0,0.0,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/3-stooges-pie-payout1022,,2026-01-02,0
1037,Special Edition Cashword,5.0,2000000.0,4.11,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/special-edition-cashword-4,https://www.ohiolottery.com/getattachment/ed108cf4-dfb9-4729-8f97-4b0f060977fc/1594_MobileAppLogo.png,2026-01-02,0
1016,Queen of Hearts,5.0,2000000.0,4.2,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/queen-of-hearts-1016,,2026-01-02,0
1006,Invaders from the Planet Moolah,5.0,2000000.0,3.98,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/invaders-from-the-planet-moolah,,2026-01-02,0
886,Linked Wins,5.0,2000000.0,3.81,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/linked-wins,,2026-01-02,0
893,"$25, $50 or $250",5.0,2000000.0,8.29,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/25-50-or-250-893,,2026-01-02,0
891,Cash Explosion 25X,5.0,2000000.0,3.77,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$5-games/cash-explosion-25x-1,,2026-01-02,0
1058,National Lampoon's Christmas,2.0,2000000.0,4.5,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/national-lampoon-s-christmas,https://www.ohiolottery.com/getattachment/f1db3d93-df76-47ba-bf0f-6a22f21dc142/1571_MobileAppLogo-(1).png,2026-01-02,0
1068,Cash Explosion 10X,2.0,2000000.0,4.19,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/cash-explosion-10x-3e88a75469b7a678721ea00f3f65712f,https://www.ohiolottery.com/getattachment/e5fa2e88-dc21-404d-843a-65d9a4d75fd1/1575_MobileAppLogo.png,2026-01-02,0
1080,Bingo Multiplier,2.0,2000000.0,4.29,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/bingo-multiplier-4,https://www.ohiolottery.com/getattachment/92a13c65-a41f-4d97-b3d9-70f9c254c1cd/1592_MobileAppLogo-(1).png,2026-01-02,0
1045,Holiday Gifts,2.0,2000000.0,3.78,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/holiday-gifts,,2026-01-02,0
1054,Cash Explosion Cashword,2.0,2000000.0,4.22,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/cash-explosion-cashword-2,,2026-01-02,0
1040,"$5, $20 or $100",2.0,2000000.0,5.24,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/$5-$20-or-$100,,2026-01-02,0
1034,Pink Diamond,2.0,2000000.0,4.31,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/pink-diamond,,2026-01-02,0
