,gameNumber,gameName,Price,Top Six Prizes,Wins Remaining
139,1515,Mining for Millions,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400",1 0 0 58 203 230
140,1514,MONOPOLY 10X®  Available on iLottery,$2,"$20,000 $1,000 $200 $100 $40 $20","1 3 193 701 3,217 18,220"
141,1507,Color Block Crossword,$3,"$50,000 $1,000 $150 $100 $50 $30","2 26 803 1,294 5,436 20,564"
142,1498,Wild Ca$h Multiplier,$3,"$50,000 $10,000 $3,000 $1,000 $300 $100","3 5 7 86 351 1,619"
143,1493,$500 Cash Money,$5,"$250,000 $5,000 $500 $100 $50 $20","1 1 1,307 128 3,575 8,022"
144,1492,"$500,000 Mega Crossword*",$10,"$500,000 $50,000 $10,000 $5,000 $1,000 $500",2 4 2 3 340 659
145,1430,Snowball Buck$,$2,"$20,000 $1,000 $500 $200 $100 $40","1 9 68 445 2,268 7,089"
146,1419,Rocket Crossword,$3,"$50,000 $6,000 $3,000 $2,000 $1,000 $600",1 1 2 3 2 17
147,1410,9s in a Line,$2,"$9,000 $900 $300 $150 $100 $90","4 4 372 765 366 4,879"
148,1372,Reindeer Games,$1,"$5,000 $300 $150 $100 $60 $50","3 5 18 360 334 1,742"
149,1371,Frosty the Doughman,$2,"$20,000 $1,000 $500 $200 $100 $40","2 7 107 658 2,603 6,925"
150,1370,Sleigh Bell$,$3,"$50,000 $5,000 $1,000 $500 $200 $100","3 4 10 430 704 2,453"
151,1369,Cash Kringle,$5,"$100,000 $10,000 $1,000 $500 $200 $100","2 3 3 195 820 7,469"
152,1367,Merry Millionaire,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400","2 2 1 407 1,184 145"
153,1363,Jack O' Lantern Jackpot,$5,"$50,000 $1,000 $500 $250 $100 $50","1 1 12 34 1,617 4,039"
154,1336,My First Million,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $200","0 0 2 236 349 1,301"
155,1334,$2 MONOPOLY™,$2,"$25,000 $1,000 $500 $250 $100 $50","1 5 4 82 1,035 5,162"
156,1331,$10 MONOPOLY™,$10,"$300,000 $10,000 $1,000 $500 $400 $200","2 5 214 530 431 8,462"
157,1328,Extreme 8s,$3,"$50,000 $8,000 $1,000 $800 $300 $100",1 4 16 50 132 656
158,1326,Bingo Squared,$5,"$100,000 $10,000 $5,000 $1,000 $500 $250",1 5 4 12 63 58
159,1323,10X the Bucks,$2,"$10,000 $1,000 $400 $100 $50 $40","2 48 149 1,916 4,354 5,597"
160,1317,Bingo,$3,"$60,000 $3,000 $1,000 $300 $150 $100",2 6 57 380 151 906
161,1314,Big Money Millionaire,$20,"$1,000,000 $100,000 $10,000 $1,000 $500 $400",1 1 0 27 991 430
162,1313,Lucky Numbers,$5,"$100,000 $5,000 $1,000 $400 $200 $100","0 3 5 113 242 1,751"
163,1301,Winning Vault,$5,"$100,000 $5,000 $1,000 $500 $200 $100","2 0 4 152 430 1,257"
164,1280,Quick Cash,$1,"$10,000 $400 $100 $40 $20 $10","0 11 402 2,105 7,817 15,777"
165,1270,$$$,$1,"$10,000 $1,000 $300 $100 $90 $60",2 7 13 85 481 924
166,1264,9s In A Line,$1,"$9,000 $900 $300 $100 $90 $30","1 5 19 67 1,489 3,024"
167,1258,Road to Riches,$1,"$10,000 $600 $100 $60 $30 $20","1 13 434 1,407 4,918 5,517"
