gameNumber,gameName,price,topprize,overallodds,startDate,gameURL,gamePhoto,topprizestarting,topprizeremain,topprizeavail,dateexported
0,Cash Bar Multiplier,0.0,1000,5.0,,https://www.mnlottery.com/games/scratch/cash-bar-multiplier,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6917889/2075-Cash-Bar-Multiplier-Individual-Main.webp,1551,1551,Unknown,2026-03-30
0,Cosmic Crossword,0.0,25000,7.28,,https://www.mnlottery.com/games/scratch/cosmic-crossword,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825328/2074-CosmicCrossword-MainImage-524x294.webp,4,4,Unknown,2026-03-30
0,Cash Train,0.0,200000,6.25,,https://www.mnlottery.com/games/scratch/cash-train,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825327/2073-CashTrain-MainImage-524x294.webp,3,3,Unknown,2026-03-30
0,Top Secret Crossword,0.0,300000,7.14,,https://www.mnlottery.com/games/scratch/top-secret-crossword,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825326/2072-TopSecretCrossword-MainImage-524x294.webp,3,3,Unknown,2026-03-30
0,2026,0.0,50000,5.41,,https://www.mnlottery.com/games/scratch/2026,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6825325/2071-2026-MainImage-524x294.webp,4,4,Unknown,2026-03-30
0,Power Shot Multiplier,0.0,500000,7.14,,https://www.mnlottery.com/games/scratch/power-shot-multiplier,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763630/2070-Power-Shot-Multiplier-Individual-Main.webp,3,3,Unknown,2026-03-30
0,Winter Fun,0.0,100000,7.69,,https://www.mnlottery.com/games/scratch/winter-fun,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763628/2069-Winter-Fun-Individual-Main.webp,4,4,Unknown,2026-03-30
0,Polar Wonderland,0.0,30000,6.67,,https://www.mnlottery.com/games/scratch/polar-wonderland,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6763629/2068-Polar-Wonderland-Individual-Main.webp,6,6,Unknown,2026-03-30
0,Blizzard Bucks,0.0,15000,8.0,,https://www.mnlottery.com/games/scratch/blizzard-bucks,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Full-Ticket-Images/2067-Blizzard-Bucks-Front-900px.jpg,6,6,Unknown,2026-03-30
0,30 Days Of Winning,0.0,200000,6.25,,https://www.mnlottery.com/games/scratch/30-days-of-winning,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Landing-Pages/WINter-Campaign-2026/30-Days-of-Winning-2nd-Chance-Game-Page.png,4,4,Unknown,2026-03-30
