,price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,extrachances,secondChance,dateexported,lastdatetoclaim
33,5.0,Lucky 7s,790,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Lucky-7s,https://www.ohiolottery.com/getattachment/b12a7052-61bb-4b54-ba01-cdd371af3763/attachment.aspx,177000.0,3.94,2.0,2.0,,,,,,2023-11-18,
34,5.0,Plus the Money,720,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Plus-the-Money,https://www.ohiolottery.com/getattachment/82e6c79d-bad6-43b0-8fcc-5b1212599f84/attachment.aspx,100000.0,3.86,0.0,0.0,Top Prize Claimed,,,,,2023-11-18,
35,5.0,Power 25X,713,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Power-25X,https://www.ohiolottery.com/getattachment/41d4d115-e6a6-4ca9-9495-6b0e7b54d738/attachment.aspx,250000.0,3.81,3.0,3.0,,,,,,2023-11-18,
36,5.0,Special Edition Cashword,802,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Special-Edition-Cashword-10,https://www.ohiolottery.com/getattachment/a187281a-f55b-4156-8d96-c3f4d3176bdf/attachment.aspx,300000.0,4.11,3.0,3.0,,,,,,2023-11-18,
37,5.0,Wheel of Fortune,806,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Wheel-of-Fortune-1,https://www.ohiolottery.com/getattachment/a94fa02b-cf57-431c-83c1-f60a82282567/attachment.aspx,100000.0,4,3.0,3.0,,,,,,2023-11-18,
38,5.0,Whole Lotta $500s,708,https://www.ohiolottery.com/Games/ScratchOffs/$5-Games/Whole-Lotta-$500s,https://www.ohiolottery.com/getattachment/8163c1d9-857c-45a0-9b85-417da2180c74/attachment.aspx,150000.0,4.21,2.0,2.0,,,,,,2023-11-18,
39,10.0,"$1,000,000 Cash Blowout",728,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$1,000,000-Cash-Blowout",https://www.ohiolottery.com/getattachment/c7216a1f-68b5-48d7-80ef-e7039e14fff3/attachment.aspx,1000000.0,3.68,1.0,1.0,,,,,,2023-11-18,
40,10.0,"$1,000,000 Payout",783,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$1,000,000-Payout",https://www.ohiolottery.com/getattachment/be02db7c-e8e8-49a0-8887-edd8f1d3c619/attachment.aspx,1000000.0,3.56,1.0,1.0,,,,,,2023-11-18,
41,10.0,"$2,500,000 Make My Year",766,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$2,500,000-Make-My-Year",https://www.ohiolottery.com/getattachment/731a330d-f2ff-47da-8bac-1b0e9902e5dc/attachment.aspx,2500000.0,3.17,3.0,3.0,,,,,,2023-11-18,
42,10.0,"$50, $100 or $500",803,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$50,-$100-or-$500-1",https://www.ohiolottery.com/getattachment/b890c92c-ffe2-496a-978b-61699a4e825b/attachment.aspx,500.0,8.29,2760.0,2760.0,,,,,,2023-11-18,
43,10.0,"$500,000 Cashword",698,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$500,000-Cashword-7",https://www.ohiolottery.com/getattachment/5bb92172-fb13-4cc8-bd6e-2f92e5f8a232/attachment.aspx,500000.0,3.69,0.0,0.0,Top Prize Claimed,,,,,2023-11-18,
44,10.0,"$500,000 Cashword",808,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$500,000-Cashword-8",https://www.ohiolottery.com/getattachment/2acba015-0b06-49c5-8a60-6bf4cd509491/attachment.aspx,500000.0,3.69,3.0,3.0,,,,,,2023-11-18,
45,10.0,The Most Wonderful Time of the Year,813,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/The-Most-Wonderful-Time-of-the-Year,https://www.ohiolottery.com/getattachment/6a5d25b7-3eb1-4183-9c2b-db1d2b3247b3/attachment.aspx,500000.0,3.40,3.0,3.0,,,,,,2023-11-18,
46,10.0,"$500,000 Ultimate Cash (Gigantix)",767,"https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/$500,000-Ultimate-Cash",https://www.ohiolottery.com/getattachment/633979d2-c084-452b-9e05-86bf838a2fe6/attachment.aspx,500000.0,3.44,2.0,2.0,,,,,,2023-11-18,
47,10.0,Bingo Times 50,740,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Bingo-Times-50,https://www.ohiolottery.com/getattachment/11fb4fd3-a495-418b-8825-f50ad9bafbe0/attachment.aspx,500000.0,3.21,2.0,2.0,,,,,,2023-11-18,
48,10.0,Lucky,761,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Lucky,https://www.ohiolottery.com/getattachment/7640af51-a8f1-40bd-b3a5-8a4a09dcdcce/attachment.aspx,1000000.0,3.64,3.0,3.0,,,,,,2023-11-18,
49,10.0,Precious Diamonds,777,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Precious-Diamonds,https://www.ohiolottery.com/getattachment/4d095237-f2b4-41a1-b593-c077966b5a47/attachment.aspx,1000000.0,3.69,2.0,2.0,,,,,,2023-11-18,
50,10.0,Psychedelic Payout,807,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Psychedelic-Payout,https://www.ohiolottery.com/getattachment/0b2abb8d-cc49-4ba3-b898-40a6d0501e38/attachment.aspx,500000.0,4.07,9.0,9.0,,,,,,2023-11-18,
51,10.0,Red Hot Riches,799,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Red-Hot-Riches,https://www.ohiolottery.com/getattachment/21582a76-0ae3-4b63-a31d-bc51277b92b8/attachment.aspx,500000.0,3.40,2.0,2.0,,,,,,2023-11-18,
52,10.0,Triple Red 777,770,https://www.ohiolottery.com/Games/ScratchOffs/10DollarGames/Triple-Red-777-1,https://www.ohiolottery.com/getattachment/99e5b7c2-aa2b-4204-8c93-9838453b5069/attachment.aspx,500000.0,3.34,1.0,1.0,,,,,,2023-11-18,
53,20.0,Holiday Gold,814,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Holiday-Gold,https://www.ohiolottery.com/getattachment/6b612039-a7a9-4571-aa96-40c8da9fdde6/attachment.aspx,1000000.0,3.03,4.0,4.0,,,,,,2023-11-18,
54,20.0,"$1,000,000 Cashword",699,"https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/$1,000,000-Cashword-3",https://www.ohiolottery.com/getattachment/4472251b-ad41-4bdd-bfeb-95689d5b59dd/attachment.aspx,1000000.0,3.20,1.0,1.0,,,,,,2023-11-18,
55,20.0,"$2,000,000 Diamond Spectacular",795,"https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/$2,000,000-Diamond-Spectacular",https://www.ohiolottery.com/getattachment/bdb85648-58ef-4145-abeb-fef760df0f5a/attachment.aspx,2000.0,3.46,3.0,3.0,,,,,,2023-11-18,
56,20.0,$300 Million Diamond Dazzler,671,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/$300-Million-Diamond-Dazzler-1,https://www.ohiolottery.com/getattachment/e03a5ed8-d68d-4e71-923c-d412435ff9e6/attachment.aspx,2000000.0,3.33,4.0,4.0,,,,,,2023-11-18,
57,20.0,Deluxe,689,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Deluxe,https://www.ohiolottery.com/getattachment/215e1820-8959-4bee-a4f4-12377de92d3a/attachment.aspx,2000000.0,3.45,1.0,1.0,,,,,,2023-11-18,
58,20.0,Electric 7s,755,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Electric-7s,https://www.ohiolottery.com/getattachment/4275f18b-5138-42f1-8655-b8e25d5ccfa6/attachment.aspx,2000000.0,3.01,3.0,3.0,,,,,,2023-11-18,
59,20.0,Magnificent Millions,729,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Magnificent-Millions,https://www.ohiolottery.com/getattachment/18472a30-0fac-4ceb-9d37-bf761ff6eb65/attachment.aspx,2000000.0,3.55,1.0,1.0,,,,,,2023-11-18,
60,20.0,Mega Cash,721,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Mega-Cash,https://www.ohiolottery.com/getattachment/7a7771c1-4776-464e-9f83-18a0841c513e/attachment.aspx,2000000.0,3.49,2.0,2.0,,,,,,2023-11-18,
61,20.0,Mining for Millions,800,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Mining-for-Millions,https://www.ohiolottery.com/getattachment/e55f90a0-8e81-450f-949e-c5757abb9b0e/attachment.aspx,2000000.0,3.45,3.0,3.0,,,,,,2023-11-18,
62,20.0,Nothing But Cash,778,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Nothing-But-Cash,https://www.ohiolottery.com/getattachment/ccc05a9d-4f7e-4ccd-adc5-eafe7d0e9051/attachment.aspx,2000000.0,3.07,2.0,2.0,,,,,,2023-11-18,
63,20.0,Platinum Diamond Spectacular,519,https://www.ohiolottery.com/Games/ScratchOffs/20DollarGames/Platinum-Diamond-Spectacular,https://www.ohiolottery.com/getattachment/e16bda67-7c2e-424c-ad57-262fb6168082/attachment.aspx,2000000.0,3.16,1.0,1.0,,,,,,2023-11-18,
64,30.0,"$300,000,000 Extreme Cash",785,"https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/$300,000,000-Extreme-Cash",https://www.ohiolottery.com/getattachment/fd724e03-f05a-4aa6-adf8-0087eb579215/attachment.aspx,5000000.0,3.40,7.0,7.0,,,,,,2023-11-18,
65,30.0,Merry and Bright,815,https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/Merry-and-Bright,https://www.ohiolottery.com/getattachment/26a73e77-9097-46a7-96e3-167c485096b6/attachment.aspx,2000000.0,2.95,4.0,4.0,,,,,,2023-11-18,
66,30.0,Monopoly 200X,696,https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/Monopoly-200X,https://www.ohiolottery.com/getattachment/5eb8fb98-d7df-41e8-92b2-de2709fbbab1/attachment.aspx,5000000.0,3.35,5.0,5.0,,,,,,2023-11-18,
67,30.0,Millions,625,https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/Millions,https://www.ohiolottery.com/getattachment/1b21d87c-b290-4632-8f1f-21a6063b810e/attachment.aspx,1000000.0,3.19,23.0,23.0,,,,,,2023-11-18,
68,30.0,Extreme Millions,433,https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/Extreme-Millions,https://www.ohiolottery.com/getattachment/9e7f90c8-6511-4cbc-85ea-675c0d5c5605/attachment.aspx,10000000.0,2.87,2.0,2.0,,,,,,2023-11-18,
69,30.0,Max the Money,368,https://www.ohiolottery.com/Games/ScratchOffs/$30-Games/Max-the-Money,https://www.ohiolottery.com/getattachment/15bf7d05-a608-49f0-be76-021cbe36d6e3/attachment.aspx,10000000.0,2.87,1.0,1.0,,,,,,2023-11-18,
70,50.0,Billion,762,https://www.ohiolottery.com/Games/ScratchOffs/$50-Games/Billion,https://www.ohiolottery.com/getattachment/0bcd9c78-88af-40d8-bde2-d97673b3b2b2/attachment.aspx,20000000.0,4.10,3.0,3.0,,,,,,2023-11-18,
