gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
433,Word Games,3.0,15000.0,4.16,2,2,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=433,https://www.kslottery.com/TicketArt/Front/KS%20Word%20GamesF_433.jpg,2026-02-07,,,0
406,Psychedelic Payout,5.0,25000.0,3.68,2,2,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=406,https://www.kslottery.com/TicketArt/Front/KS%20Psychedelic%20PayoutF_406.jpg,2026-02-07,,,0
413,Deluxe Dollars,5.0,25000.0,3.8,1,1,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=413,https://www.kslottery.com/TicketArt/Front/KSDeluxeDollarsF_413.jpg,2026-02-07,,,0
437,Blazing Hot 7S,5.0,50000.0,3.94,1,1,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=437,https://www.kslottery.com/TicketArt/Front/BlazingHot7sF_437.jpg,2026-02-07,,,0
444,Kansas Grande Loteria,5.0,25000.0,3.77,3,3,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=444,https://www.kslottery.com/TicketArt/Front/KS%20Kansas%20Grande%20Loteria4F_444.jpg,2026-02-07,,,0
446,"$25, $50 Or $100",5.0,100.0,9.83,261,261,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=446,https://www.kslottery.com/TicketArt/Front/KS%2025%2050%20or%20100F_446.jpg,2026-02-07,,,0
449,Tiger And Dragon,5.0,25000.0,3.04,2,2,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=449,https://www.kslottery.com/TicketArt/Front/TigerandDragonF_449.jpg,2026-02-07,,,0
453,Super Red Hot Crossword,5.0,50000.0,3.6,5,5,Available,2025-11-11,,,https://www.kslottery.com/InstantGame/?gameid=453,https://www.kslottery.com/TicketArt/Front/Super%20Red%20Hot%20XwordF_453.jpg,2026-02-07,,,0
455,Yellowstone,5.0,25000.0,3.73,1,1,Available,2025-07-18,,,https://www.kslottery.com/InstantGame/?gameid=455,https://www.kslottery.com/TicketArt/Front/KS%20YellowstoneF_455.jpg,2026-02-07,,,0
457,Rivalry Riches,5.0,50000.0,3.31,2,2,Available,2025-08-15,,,https://www.kslottery.com/InstantGame/?gameid=457,https://www.kslottery.com/TicketArt/Front/KS%20Rivalry%20RichesF_457.jpg,2026-02-07,,,0
467,Full Of $500S,5.0,500.0,3.62,71,71,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=467,https://www.kslottery.com/TicketArt/Front/Full%20of%20%24500sGrF_467.jpg,2026-02-07,,,0
478,50X,5.0,50000.0,3.94,4,4,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=478,https://www.kslottery.com/TicketArt/Front/KS%2050XF_478.jpg,2026-02-07,,,0
264,"$75,000 Cashout",10.0,75000.0,2.78,4,4,Available,2025-02-16,,,https://www.kslottery.com/InstantGame/?gameid=264,https://www.kslottery.com/TicketArt/Front/75KCashoutP1_264.jpg,2026-02-07,,,0
332,Spectacular Slots,10.0,100000.0,3.44,1,1,Available,2023-11-15,,,https://www.kslottery.com/InstantGame/?gameid=332,https://www.kslottery.com/TicketArt/Front/Spectacular%20SlotsF_332.jpg,2026-02-07,,,0
438,Smoking Hot 7S,10.0,100000.0,3.15,1,1,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=438,https://www.kslottery.com/TicketArt/Front/SmokingHot7sF_438.jpg,2026-02-07,,,0
442,"$50, $100 Or $200",10.0,200.0,9.41,1746,1746,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=442,https://www.kslottery.com/TicketArt/Front/KS%2050%20100%20or%20200F_442.jpg,2026-02-07,,,0
450,Tiger And Dragon Doubler,10.0,75000.0,3.47,1,1,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=450,https://www.kslottery.com/TicketArt/Front/TigerandDragonDoublerF_450.jpg,2026-02-07,,,0
454,"$100,000 Crossword",10.0,100000.0,3.08,1,1,Available,2025-07-01,,,https://www.kslottery.com/InstantGame/?gameid=454,https://www.kslottery.com/TicketArt/Front/100000%20CrosswordF_454.jpg,2026-02-07,,,0
456,Chiefs Kingdom,10.0,75000.0,3.47,1,1,Available,2025-07-18,,,https://www.kslottery.com/InstantGame/?gameid=456,https://www.kslottery.com/TicketArt/Front/KS%20Chiefs%20KingdomF_456.jpg,2026-02-07,,,0
461,Black Diamond Club,10.0,75000.0,3.16,1,1,Available,2025-06-16,,,https://www.kslottery.com/InstantGame/?gameid=461,https://www.kslottery.com/TicketArt/Front/KS%20Black%20Diamond%20ClubF_461.jpg,2026-02-07,,,0
468,Peppermint Payout Multiplier,10.0,75000.0,2.74,2,2,Available,2025-09-15,,,https://www.kslottery.com/InstantGame/?gameid=468,https://www.kslottery.com/TicketArt/Front/PeppermintPayoutMultiF_468.jpg,2026-02-07,,,0
470,2026,10.0,2026.0,3.66,330,330,Available,2025-11-14,,,https://www.kslottery.com/InstantGame/?gameid=470,https://www.kslottery.com/TicketArt/Front/KS%202026F_470.jpg,2026-02-07,,,0
479,100X,10.0,100000.0,3.15,4,4,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=479,https://www.kslottery.com/TicketArt/Front/KS%20100XF_479.jpg,2026-02-07,,,0
347,Extreme Crossword,20.0,150000.0,2.34,1,1,Available,2024-06-18,,,https://www.kslottery.com/InstantGame/?gameid=347,https://www.kslottery.com/TicketArt/Front/Extreme%20CrosswordF_347.jpg,2026-02-07,,,0
424,Cash Blast,20.0,150000.0,3.09,2,2,Available,2025-11-14,,,https://www.kslottery.com/InstantGame/?gameid=424,https://www.kslottery.com/TicketArt/Front/KS%20Cash%20BlastF_424.jpg,2026-02-07,,,0
439,Scorching Hot 7S,20.0,200000.0,3.2,3,3,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=439,https://www.kslottery.com/TicketArt/Front/ScorchingHot7sF_439.jpg,2026-02-07,,,0
443,"$100, $200 Or $500!",20.0,500.0,9.16,53,53,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=443,https://www.kslottery.com/TicketArt/Front/KS%20100%20200%20or%20500F_443.jpg,2026-02-07,,,0
451,Tiger And Dragon Tripler,20.0,125000.0,3.36,1,1,Available,2025-05-19,,,https://www.kslottery.com/InstantGame/?gameid=451,https://www.kslottery.com/TicketArt/Front/TigerandDragonTriplerF_451.jpg,2026-02-07,,,0
469,Merry Money Multiplier Bonus,20.0,100000.0,3.26,2,2,Available,2025-08-15,,,https://www.kslottery.com/InstantGame/?gameid=469,https://www.kslottery.com/TicketArt/Front/Merry%20Money%20Multiplier%20BonusF_469.jpg,2026-02-07,,,0
480,200X,20.0,200000.0,3.2,4,4,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=480,https://www.kslottery.com/TicketArt/Front/KS%20200XF_480.jpg,2026-02-07,,,0
262,"$250,000 Dazzle",30.0,250000.0,3.03,1,1,Available,2024-04-21,,,https://www.kslottery.com/InstantGame/?gameid=262,https://www.kslottery.com/TicketArt/Front/250000DazzleP1_262.jpg,2026-02-07,,,0
331,Sapphire 7S,30.0,300000.0,2.92,2,2,Available,2023-12-28,,,https://www.kslottery.com/InstantGame/?gameid=331,https://www.kslottery.com/TicketArt/Front/Sapphire%207sF_331.jpg,2026-02-07,,,0
380,Sizzling Riches,30.0,300000.0,2.97,1,1,Available,2025-03-17,,,https://www.kslottery.com/InstantGame/?gameid=380,https://www.kslottery.com/TicketArt/Front/KS380SizzlingRichesF_380.jpg,2026-02-07,,,0
440,Fiery Hot 7S,30.0,300000.0,3.31,3,3,Available,2025-01-26,,,https://www.kslottery.com/InstantGame/?gameid=440,https://www.kslottery.com/TicketArt/Front/FieryHot7sF_440.jpg,2026-02-07,,,0
481,300X,30.0,300000.0,3.28,3,3,Available,2026-01-26,,,https://www.kslottery.com/InstantGame/?gameid=481,https://www.kslottery.com/TicketArt/Front/KS%20300XF_481.jpg,2026-02-07,,,0
417,Fabulous Fortune,50.0,500000.0,2.94,2,2,Available,2024-11-17,,,https://www.kslottery.com/InstantGame/?gameid=417,https://www.kslottery.com/TicketArt/Front/Fabulous%20FortuneF1_417.jpg,2026-02-07,,,0
463,Platinum Payout,50.0,500000.0,3.24,3,3,Available,2025-11-14,,,https://www.kslottery.com/InstantGame/?gameid=463,https://www.kslottery.com/TicketArt/Front/KS%20Platinum%20PayoutF_463.jpg,2026-02-07,,,0
