price,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported_x,gameName,dateexported_y,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Percent of Prizes Remaining,Overall Rank,Rank by Cost,Expected Value of Any Prize (as % of cost),Probability of Winning Any Prize,Rank by Most Available Prizes
5.0,675,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,1,Available,,,,,,2026-01-02,Detroit Lions,2026-01-02,502700.0,3819778,299010,0.07827941833268845,108.0,0,0,0,108.0
20.0,601,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,"$2,000,000 Mega Multiplier",2026-01-02,2012910.0,3989942,2235946,0.5603956147733475,48.0,0,0,0,48.0
10.0,667,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,1,Available,,,,,,2026-01-02,Wild Cherry,2026-01-02,1012910.0,3687732,1284484,0.3483127298838419,89.0,0,0,0,89.0
30.0,665,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,Magnificent Millions,2026-01-02,4008280.0,3791208,2281088,0.6016784096256391,36.0,0,0,0,36.0
10.0,605,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Million Dollar Madness,2026-01-02,1012910.0,3662494,2224140,0.6072747149892942,34.0,0,0,0,34.0
2.0,622,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,3,2,Available,,,,,,2026-01-02,Mystery Multiplier,2026-01-02,50971.0,3156120,1109996,0.35169638670266024,87.0,0,0,0,87.0
50.0,631,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,6000000.0,0,3,2,Available,,,,,,2026-01-02,"$300,000,000 Extraordinaire",2026-01-02,6056000.0,5410090,2004120,0.3704411571711376,82.0,0,0,0,82.0
5.0,625,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,777 Jackpot,2026-01-02,502940.0,4316070,2897760,0.6713885548658849,13.0,0,0,0,13.0
5.0,623,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Fantastic 5's,2026-01-02,512705.0,4519112,2588048,0.5726895018313333,45.0,0,0,0,45.0
10.0,656,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Bonus Star Millions,2026-01-02,1002710.0,3890602,2403262,0.6177095472628658,30.0,0,0,0,30.0
20.0,654,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,23443,3379,Available,,,,,,2026-01-02,"Win $100, $200 or $500",2026-01-02,800.0,2174084,319730,0.14706423486856993,105.0,0,0,0,105.0
1.0,650,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,3,1,Available,,,,,,2026-01-02,Lucky Dog,2026-01-02,5088.0,4656056,1671498,0.35899439353822205,86.0,0,0,0,86.0
5.0,652,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,3,1,Available,,,,,,2026-01-02,Wild Time Bingo,2026-01-02,313015.0,3501106,253556,0.0724216861757399,110.0,0,0,0,110.0
10.0,653,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,100.0,0,302284,94318,Available,,,,,,2026-01-02,Win $50 or $100,2026-01-02,150.0,1662422,520290,0.31297107473313035,92.0,0,0,0,92.0
30.0,657,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,"$4,000,000 Ultimate",2026-01-02,4014120.0,4168988,2185670,0.5242687194110417,57.0,0,0,0,57.0
20.0,648,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,1,Available,,,,,,2026-01-02,Jackson,2026-01-02,2023060.0,3785882,2203204,0.581952633494652,42.0,0,0,0,42.0
10.0,643,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Hamilton,2026-01-02,1012710.0,3732412,2166262,0.5803919824499546,44.0,0,0,0,44.0
5.0,640,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Lincoln,2026-01-02,507890.0,4210034,2276990,0.5408483636949251,52.0,0,0,0,52.0
2.0,639,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,4,Available,,,,,,2026-01-02,Jefferson,2026-01-02,50691.0,5196934,3300766,0.6351371789597482,25.0,0,0,0,25.0
2.0,638,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,30000.0,0,12,3,Available,,,,,,2026-01-02,Classic Cashword,2026-01-02,31192.0,12797834,2908336,0.22725220533412138,98.0,0,0,0,98.0
5.0,617,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,3,0,Claimed,,,,,,2026-01-02,20X Wild Time,2026-01-02,328455.0,7297612,1075522,0.14737999224951942,104.0,0,0,0,104.0
20.0,600,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,Ace of Spades,2026-01-02,2002810.0,3869306,1573482,0.4066574212533204,80.0,0,0,0,80.0
10.0,629,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,"$1,000,000 Deluxe Cash",2026-01-02,1003610.0,3765240,2467576,0.6553568962403459,16.0,0,0,0,16.0
20.0,480,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,1,Available,,,,,,2026-01-02,Diamonds & Gold,2026-01-02,2007910.0,3629336,1546434,0.42609281697809187,74.0,0,0,0,74.0
10.0,628,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Gold Multiplier,2026-01-02,1012910.0,3521376,1565076,0.4444501240424198,69.0,0,0,0,69.0
5.0,609,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Golden 9's,2026-01-02,502700.0,4345872,1847084,0.4250203411421229,76.0,0,0,0,76.0
2.0,633,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,3,2,Available,,,,,,2026-01-02,"$50,000 Gold Rush",2026-01-02,50176.0,3228232,1127348,0.34921529803310297,88.0,0,0,0,88.0
2.0,621,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,1,Available,,,,,,2026-01-02,Blackjack Doubler,2026-01-02,50891.0,3181806,532574,0.1673810408302706,101.0,0,0,0,101.0
5.0,626,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Winning Streak,2026-01-02,503380.0,4482938,2920532,0.651477223196038,18.0,0,0,0,18.0
20.0,606,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,0,Claimed,,,,,,2026-01-02,Major Cashword,2026-01-02,1006940.0,3429182,389008,0.11344046481055832,106.0,0,0,0,106.0
10.0,637,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,"$1,000,000 Cash Multiplier",2026-01-02,1005710.0,4282812,2601470,0.6074210121761123,33.0,0,0,0,33.0
5.0,636,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,"$500,000 Cash Multiplier",2026-01-02,500690.0,4432336,2489894,0.5617565996801687,47.0,0,0,0,47.0
2.0,635,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,4,2,Available,,,,,,2026-01-02,"$50,000 Cash Multiplier",2026-01-02,50191.0,4665510,2764740,0.5925911636669946,37.0,0,0,0,37.0
1.0,634,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,5,3,Available,,,,,,2026-01-02,"$5,000 Cash Multiplier",2026-01-02,5068.0,4194694,986432,0.23516184970822662,96.0,0,0,0,96.0
5.0,493,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,300000.0,0,3,0,Claimed,,,,,,2026-01-02,Top Secret Cashword,2026-01-02,301830.0,5713198,426730,0.0746919676160357,109.0,0,0,0,109.0
30.0,632,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,"$4,000,000 Winner",2026-01-02,4021180.0,4033842,2226432,0.5519383257946147,51.0,0,0,0,51.0
20.0,608,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,"$2,000,000 Cash Multiplier",2026-01-02,2022900.0,3537180,1448228,0.4094301109923725,79.0,0,0,0,79.0
5.0,615,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,2,1,Available,,,,,,2026-01-02,"$500,000 Winter Ice",2026-01-02,500700.0,2174976,741156,0.3407651394774011,91.0,0,0,0,91.0
50.0,630,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,6000000.0,0,3,1,Available,,,,,,2026-01-02,500X Money Maker,2026-01-02,6056175.0,4659116,304236,0.06529908248689237,111.0,0,0,0,111.0
1.0,604,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,4,1,Available,,,,,,2026-01-02,HIT $50,2026-01-02,588.0,4263174,983142,0.23061268435208135,97.0,0,0,0,97.0
20.0,491,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500.0,0,28314,4335,Available,,,,,,2026-01-02,"Win $100, $200 or $500",2026-01-02,800.0,1933884,299732,0.15498964777618512,103.0,0,0,0,103.0
2.0,434,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,30000.0,0,6,3,Available,,,,,,2026-01-02,Sapphire Blue Wild Time,2026-01-02,30721.0,6937120,2946550,0.4247511935788915,77.0,0,0,0,77.0
30.0,494,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,0,Claimed,,,,,,2026-01-02,Colossal Cashword,2026-01-02,2016040.0,2914278,148038,0.05079748740511372,112.0,0,0,0,112.0
20.0,482,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,Supreme,2026-01-02,2007910.0,3568934,1825536,0.5115073576591778,61.0,0,0,0,61.0
30.0,602,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,2,Available,,,,,,2026-01-02,World Class Millions,2026-01-02,4020940.0,4054856,2000412,0.49333737129012717,63.0,0,0,0,63.0
20.0,477,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,"$2,000 Large",2026-01-02,2003060.0,3513406,1787850,0.5088651866593271,62.0,0,0,0,62.0
10.0,476,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,"$1,000 Large",2026-01-02,1001210.0,3616232,1942112,0.5370540385683219,55.0,0,0,0,55.0
5.0,475,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,$500 Large,2026-01-02,500585.0,4461244,1917424,0.42979581479963885,73.0,0,0,0,73.0
2.0,474,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,3,Available,,,,,,2026-01-02,$50 Large,2026-01-02,50191.0,5637588,3292244,0.5839809507186406,41.0,0,0,0,41.0
20.0,446,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,Money,2026-01-02,2016200.0,3754272,1734626,0.4620405767083472,66.0,0,0,0,66.0
30.0,465,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,4000000.0,0,3,1,Available,,,,,,2026-01-02,Millionaires Club,2026-01-02,4012940.0,4114386,1102954,0.26807256295350024,94.0,0,0,0,94.0
20.0,459,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,2000000.0,0,3,2,Available,,,,,,2026-01-02,Scorching Hot 7's,2026-01-02,2012910.0,3586452,2173138,0.6059297601083188,35.0,0,0,0,35.0
5.0,467,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,3,Available,,,,,,2026-01-02,Power Shot Multiplier,2026-01-02,502690.0,4493172,2499536,0.5562965317152337,50.0,0,0,0,50.0
10.0,463,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,1000000.0,0,3,2,Available,,,,,,2026-01-02,Sizzling Hot 7's,2026-01-02,1012910.0,4324726,1813352,0.4192987023917816,78.0,0,0,0,78.0
5.0,462,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,500000.0,0,3,2,Available,,,,,,2026-01-02,Blazing Hot 7's,2026-01-02,512705.0,4836252,1846352,0.3817733236398765,81.0,0,0,0,81.0
2.0,461,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,50000.0,0,5,3,Available,,,,,,2026-01-02,Burning Hot 7's,2026-01-02,50891.0,4721598,2034366,0.43086387278205385,71.0,0,0,0,71.0
1.0,460,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,5000.0,0,5,0,Claimed,,,,,,2026-01-02,Hot 7's,2026-01-02,5408.0,4221392,661918,0.15680088463710548,102.0,0,0,0,102.0
50.0,464,https://www.michiganlottery.com/resources/instant-games-prizes-remaining,,6000000.0,0,3,2,Available,,,,,,2026-01-02,"$6,000,000 Jackpot",2026-01-02,6053425.0,5447402,528236,0.09697026215432604,107.0,0,0,0,107.0
