price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
5.0,THE THREE STOOGES,1473,https://www.rilot.com/en-us/instantgames.html#game-1473,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1473/ticket.jpg,25000.0,3.84,3,0,Claimed,2025-01-03,2025-11-17,,,,2026-06-14
5.0,5 HOLIDAY TRADITIONS,1465,https://www.rilot.com/en-us/instantgames.html#game-1465,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1465/ticket.jpg,30000.0,3.58,2,0,Claimed,2024-10-04,2026-01-22,,,,2026-06-14
5.0,DIAMOND DAZZLER,1437,https://www.rilot.com/en-us/instantgames.html#game-1437,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1437/ticket.jpg,30000.0,3.87,2,0,Claimed,2024-05-03,2025-07-21,,,,2026-06-14
5.0,STRIKE IT RICH,1421,https://www.rilot.com/en-us/instantgames.html#game-1421,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1421/ticket.jpg,30000.0,3.96,2,0,Claimed,2024-03-29,2025-12-29,,,,2026-06-14
5.0,CASH FRENZY,1427,https://www.rilot.com/en-us/instantgames.html#game-1427,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1427/ticket.jpg,30000.0,3.97,2,0,Claimed,2023-09-01,2025-07-07,,,,2026-06-14
10.0,ITS THE MOST WONDERFUL TIME 10,1481,https://www.rilot.com/en-us/instantgames.html#game-1481,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1481/ticket.jpg,2000.0,3.48,64,3,Available,2025-10-03,2026-04-30,,,,2026-06-14
10.0,10X CASH BLITZ,1469,https://www.rilot.com/en-us/instantgames.html#game-1469,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1469/ticket.jpg,50000.0,3.75,2,0,Claimed,2025-02-28,2025-11-04,,,,2026-06-14
10.0,Unknown Game,1447,https://www.rilot.com/en-us/instantgames.html#game-1447,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1447/ticket.jpg,100.0,9.38,13028,136,Available,2024-08-30,2026-03-03,,,,2026-06-14
10.0,Unknown Game,1462,https://www.rilot.com/en-us/instantgames.html#game-1462,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1462/ticket.jpg,50000.0,3.7,2,0,Claimed,2024-08-02,2025-12-30,,,,2026-06-14
10.0,RHODE ISLAND CASH,1435,https://www.rilot.com/en-us/instantgames.html#game-1435,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1435/ticket.jpg,50000.0,3.8,2,0,Claimed,2024-05-31,2025-10-27,,,,2026-06-14
10.0,RHODE ISLAND RED,1459,https://www.rilot.com/en-us/instantgames.html#game-1459,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1459/ticket.jpg,50000.0,3.64,2,0,Claimed,2024-03-29,2025-09-11,,,,2026-06-14
25.0,HIGH ROLLER,1416,https://www.rilot.com/en-us/instantgames.html#game-1416,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1416/ticket.jpg,250000.0,4.19,2,0,Claimed,2023-06-30,2025-12-30,,,,2026-06-14
30.0,OCEAN STATE RICHES,1400,https://www.rilot.com/en-us/instantgames.html#game-1400,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/1400/ticket.jpg,500000.0,3.57,2,0,Claimed,2023-01-06,2026-06-03,,,,2026-06-14
25.0,ULTIMATE FORTUNE,288,https://www.rilot.com/en-us/instantgames.html#game-288,https://www.rilot.com/content/dam/interactive/ilottery/images/instantgames/288/ticket.jpg,250000.0,4.2,2,1,Available,2022-07-01,2025-07-01,,,,2026-06-14
