,price,gameName,gameNumber,topprize,overallodds,topprizeodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,5,Lady Luck,1557,50000,4.16,120900.00,2.0,0.0,Top Prize Claimed,,,"08/02/2023
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/lady-luck-0
0,10,Red Hot Riches,1556,100000,3.57,121500.00,2.0,1.0,,,,"07/05/2023
",,"06/24/2025
",2025-04-08,https://dclottery.com/dc-scratchers/red-hot-riches
0,5,Red Hot Cash,1555,50000,4.28,122340.00,2.0,1.0,,,,"07/05/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/red-hot-cash
0,1,Red Hot Double Doubler,1554,1000,4.73,60650.00,4.0,0.0,Top Prize Claimed,,,"07/05/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/red-hot-double-doubler-1
0,5,$500 Frenzy,1553,500,4.17,1333.33,532.0,122.0,,,,"06/07/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/500-frenzy
0,2,$100 Frenzy,1552,100,4.74,789.47,1224.0,399.0,,,,"06/07/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/100-frenzy
0,1,$50 Frenzy,1551,50,4.86,1153.85,600.0,73.0,,,,"06/07/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/50-frenzy
0,10,Wild Cash Multiplier,1549,100000,3.58,121770,2.0,0.0,Top Prize Claimed,,,"05/03/2023
",,"11/12/2024
",2025-04-08,https://dclottery.com/dc-scratchers/wild-cash-multiplier
0,3,5 Star Crossword,1548,30000,3.93,121900,2.0,1.0,,,,"05/03/2023
",,"06/24/2025
",2025-04-08,https://dclottery.com/dc-scratchers/5-star-crossword
0,30,Ultimate Riches,1550,680000,3.46,229010,2.0,1.0,,,,"05/03/2023
",,,2025-04-08,https://dclottery.com/dc-scratchers/ultimate-riches
0,5,Emerald 8's,1547,50000,4.18,121120,2.0,1.0,,,,"04/05/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/emerald-8s
0,2,Ruby Red 7's,1546,5000,4.47,120650,2.0,1.0,,,,"04/05/2023
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/ruby-red-7s
0,1,Sapphire 6's,1545,1000,4.94,61050,4.0,1.0,,,,"04/05/2023
",,"08/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/sapphire-6s
0,10,District of Columbia Black,1544,100000,3.94,122115,2.0,1.0,,,,"03/01/2023
",,"11/14/2024
",2025-04-08,https://dclottery.com/dc-scratchers/district-columbia-black
0,3,Loteria,1542,30000,4.01,182300,2.0,2.0,,,,"03/01/2023
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/loteria
0,5,Did I Win?,1543,50000,3.93,181120,2.0,1.0,,,,"03/01/2023
",,"06/24/2025
",2025-04-08,https://dclottery.com/dc-scratchers/did-i-win
0,20,100X The Cash,1541,250000,3.12,121890,2.0,0.0,Top Prize Claimed,,,"02/01/2023
",,"05/02/2025
",2025-04-08,https://dclottery.com/dc-scratchers/100x-cash
0,5,25X The Cash,1540,50000,3.56,180000,2.0,0.0,Top Prize Claimed,,,"02/01/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/25x-cash
0,2,10X The Cash,1539,5000,4.72,61150,6.0,3.0,,,,"02/01/2023
",,"09/13/2025
",2025-04-08,https://dclottery.com/dc-scratchers/10x-cash
0,1,5X The Cash,1538,1000,3.97,87371.43,7.0,2.0,,,,"02/01/2023
",,,2025-04-08,https://dclottery.com/dc-scratchers/5x-cash
0,1,Lucky 7's,1535,1000,4.82,151500,4.0,1.0,,,,"01/04/2023
",,,2025-04-08,https://dclottery.com/dc-scratchers/lucky-7s
0,10,Premier Play,1537,100000,3.47,122400,2.0,0.0,Top Prize Claimed,,,"01/04/2023
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/premier-play
0,5,DC Payout,1536,51000,3.64,183600,2.0,1.0,,,,"01/04/2023
",,"06/24/2025
",2025-04-08,https://dclottery.com/dc-scratchers/dc-payout
0,10,"$50, $100, & $500 BLOWOUT",1534,500,8.61,534.62,457.0,46.0,,,,"12/06/2022
",,"06/06/2024
",2025-04-08,https://dclottery.com/dc-scratchers/50-100-500-blowout
0,5,Fat Wallet,1533,50000,3.57,187000,2.0,0.0,Top Prize Claimed,,,"12/06/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/fat-wallet
0,2,2023,1532,2023,4.72,18700,13.0,5.0,,,,"12/06/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/2023
0,2,Merry Money Multiplier,1530,5000,4.33,40650.00,4.0,1.0,,,,"11/01/2022
",,"06/06/2024
",2025-04-08,https://dclottery.com/dc-scratchers/merry-money-multiplier
0,5,Festive $500s,1531,500,4.26,508.48,361.0,81.0,,,,"11/01/2022
",,"12/20/2023
",2025-04-08,https://dclottery.com/dc-scratchers/festive-500s
0,1,Peppermint Payout,1529,1000,4.51,60750.00,4.0,1.0,,,,"11/01/2022
",,"12/20/2023
",2025-04-08,https://dclottery.com/dc-scratchers/peppermint-payout
0,20,Nothing But Cash,1528,250000,3.16,122055,2.0,0.0,Top Prize Claimed,,,"10/04/2022
",,"01/17/2025
",2025-04-08,https://dclottery.com/dc-scratchers/nothing-cash
0,5,Fab 4,1527,50000,3.39,122100.00,2.0,1.0,,,,"10/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/fab-4
0,3,10X Bingo,1526,25000,3.90,182600.00,2.0,2.0,,,,"10/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/10x-bingo
0,1,District Diamonds,1524,1000,4.74,151800.00,4.0,2.0,,,,"09/06/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/district-diamonds
0,10,51st,1525,151000,3.42,183420.00,2.0,1.0,,,,"09/06/2022
",,"08/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/51st
0,5,Win it All Jackpot,1523,50000,3.58,182960,2.0,1.0,,,,"08/02/2022
",,"01/17/2025
",2025-04-08,https://dclottery.com/dc-scratchers/win-it-all-jackpot
0,2,Triple 333,1522,5000,4.72,60933.33,6.0,2.0,,,,"08/02/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/triple-333
0,10,Double Your Money,1521,100000,3.99,122325,2.0,0.0,Top Prize Claimed,,,"07/05/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/double-your-money
0,5,Hot Hot Cash,1519,50000,3.64,182380.00,2.0,1.0,,,,"05/31/2022
",,"01/17/2025
",2025-04-08,https://dclottery.com/dc-scratchers/hot-hot-cash
0,1,$50 Loaded,1514,1000,4.47,151200.00,4.0,1.0,,,,"05/03/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/50-loaded
0,2,$100 Loaded,1515,5000,4.33,365700.00,1.0,1.0,,,,"05/03/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/100-loaded
0,5,$500 Loaded,1516,50000,3.27,366680,1.0,0.0,Top Prize Claimed,,,"05/03/2022
",,"06/06/2024
",2025-04-08,https://dclottery.com/dc-scratchers/500-loaded
0,10,$1500 Loaded,1517,100000,3.50,244620.00,1.0,1.0,,,,"05/03/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/1500-loaded
0,20,$5000 Loaded,1512,250000,3.21,243645.00,1.0,0.0,Top Prize Claimed,,,"04/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/loaded
0,1,Cash Time!,1511,1000,4.83,304000.00,2.0,1.0,,,,"04/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/cash-time
0,3,Lucky Letter Crossword,1509,25000,4.15,121533.33,3.0,2.0,,,,"03/01/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/lucky-letter-crossword
0,5,Wild Numbers 10X,1507,50000,3.5883,183300.00,2.0,1.0,,,,"02/01/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/wild-numbers-10x
0,10,The Big $10,1508,100000,3.2992,121215.00,2.0,0.0,Top Prize Claimed,,,"02/01/2022
",,"06/06/2024
",2025-04-08,https://dclottery.com/dc-scratchers/big-10
0,2,Fireball 5s,1506,5000,4.365,61050.00,6.0,1.0,,,,"02/01/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/fireball-5s
0,10,$10: 40th Anniversary,1505,100000,3.43,122400,2.0,0.0,Top Prize Claimed,,,"01/04/2022
",,"12/20/2023
",2025-04-08,https://dclottery.com/dc-scratchers/10-40th-anniversary
0,5,$5: 40th Anniversary,1504,50000,3.58,183600,2.0,1.0,,,,"01/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/5-40th-anniversary
0,1,$1: 40th Anniversary,1503,1000,3.93,86971,7.0,3.0,,,,"01/04/2022
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/1-40th-anniversary
0,2,Tic Tac Multiplier,1500,5000,4.71,60000,6.0,4.0,,,,"11/30/2021
",,"09/24/2024
",2025-04-08,https://dclottery.com/dc-scratchers/tic-tac-multiplier
0,5,Mega Multiplier,1501,50000,3.58,120000,2.0,1.0,,,,"11/30/2021
",,"06/06/2024
",2025-04-08,https://dclottery.com/dc-scratchers/mega-multiplier
0,10,X (Ten),1502,100000,3.40,122400.00,2.0,1.0,,,,"12/01/2021
",,"12/20/2023
",2025-04-08,https://dclottery.com/dc-scratchers/x-ten
0,5,Full of $500 Holiday Edition,1499,500,3.56,3000,162.0,12.0,,,,"11/02/2021
",,"12/23/2022
",2025-04-08,https://dclottery.com/dc-scratchers/full-500-holiday-edition
0,2,A Wreath of Franklins,1498,4000,4.72, 81450,2.0,1.0,,,,"11/02/2021
",,"05/03/2023
",2025-04-08,https://dclottery.com/dc-scratchers/wreath-franklins
0,1,Festive $50s,1497,1000,4.70,122400,2.0,0.0,Top Prize Claimed,,,"11/02/2021
",,"12/23/2022
",2025-04-08,https://dclottery.com/dc-scratchers/festive-50s
